canonical_entity,canonical_entity_id,source_sheet,source_row,canonical_is_number,related_product_text,related_scheme_text,eligibility,application_procedure,required_documents,factory_requirements,infrastructure_requirements,process_controls,quality_control,testing,inspection,laboratory_testing,conformity_assessment,licence_or_coc_grant,surveillance,renewal,scope_extension,retesting,fees,forms,timelines,source_url
STANDARD,STD-00445,BIS_Standards_Intelligence,12,STD-1489-P2,Portland Pozzolana Cement — Calcined Clay Based,Scheme-I,Cement manufacturer,Manakonline application → cement-factory assessment → sample testing → conformity decision → ISI licence.,Application; plant/factory information; process flow; raw-material details; QC/testing arrangements; SIT and PM records.,"Cement manufacturing, grinding/blending and QC infrastructure.","Cement chemical/physical testing laboratory, weighing, fineness, setting-time and strength equipment.","Raw-material control, clinker/cement composition, grinding, storage, packing and traceability.",Chemical/physical routine tests under SIT.,"Chemical, physical and strength requirements.",BIS cement-factory inspection and surveillance.,Cement laboratory/in-house or BIS-recognized laboratory as prescribed.,Factory + process + QC/testing + cement conformity.,ISI Mark licence.,Factory and market surveillance/sample testing.,Online Scheme-I renewal.,Additional cement grade/variety where permitted.,BIS retesting procedure.,Scheme-I general fees + marking fee.,Manakonline and cement-specific documents.,"Scheme-I process timelines, case dependent.",https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-01041,BIS_Standards_Intelligence,13,STD-269,Ordinary Portland Cement,Scheme-I,Cement manufacturer,Manakonline application → cement-factory assessment → sample testing → conformity decision → ISI licence.,Application; plant/factory information; process flow; raw-material details; QC/testing arrangements; SIT and PM records.,"Cement manufacturing, grinding/blending and QC infrastructure.","Cement chemical/physical testing laboratory, weighing, fineness, setting-time and strength equipment.","Raw-material control, clinker/cement composition, grinding, storage, packing and traceability.",Chemical/physical routine tests under SIT.,"Insoluble residue, LOI, fineness, setting time; all IS requirements.",BIS cement-factory inspection and surveillance.,Cement laboratory/in-house or BIS-recognized laboratory as prescribed.,Factory + process + QC/testing + cement conformity.,ISI Mark licence.,Factory and market surveillance/sample testing.,Online Scheme-I renewal.,Additional cement grade/variety where permitted.,BIS retesting procedure.,Scheme-I general fees + marking fee.,Manakonline and cement-specific documents.,"Scheme-I process timelines, case dependent.",https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-01273,BIS_Standards_Intelligence,14,STD-455,Portland Slag Cement,Scheme-I,Cement manufacturer,Manakonline application → cement-factory assessment → sample testing → conformity decision → ISI licence.,Application; plant/factory information; process flow; raw-material details; QC/testing arrangements; SIT and PM records.,"Cement manufacturing, grinding/blending and QC infrastructure.","Cement chemical/physical testing laboratory, weighing, fineness, setting-time and strength equipment.","Raw-material control, clinker/cement composition, grinding, storage, packing and traceability.",Chemical/physical routine tests under SIT.,"Insoluble residue, LOI, fineness, setting time and IS requirements.",BIS cement-factory inspection and surveillance.,Cement laboratory/in-house or BIS-recognized laboratory as prescribed.,Factory + process + QC/testing + cement conformity.,ISI Mark licence.,Factory and market surveillance/sample testing.,Online Scheme-I renewal.,Additional cement grade/variety where permitted.,BIS retesting procedure.,Scheme-I general fees + marking fee.,Manakonline and cement-specific documents.,"Scheme-I process timelines, case dependent.",https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-01569,BIS_Standards_Intelligence,15,STD-8041,Rapid Hardening Portland Cement,Scheme-I,Cement manufacturer,Manakonline application → cement-factory assessment → sample testing → conformity decision → ISI licence.,Application; plant/factory information; process flow; raw-material details; QC/testing arrangements; SIT and PM records.,"Cement manufacturing, grinding/blending and QC infrastructure.","Cement chemical/physical testing laboratory, weighing, fineness, setting-time and strength equipment.","Raw-material control, clinker/cement composition, grinding, storage, packing and traceability.",Chemical/physical routine tests under SIT.,"Insoluble residue, LOI, fineness, setting time; transverse strength optional by agreement.",BIS cement-factory inspection and surveillance.,Cement laboratory/in-house or BIS-recognized laboratory as prescribed.,Factory + process + QC/testing + cement conformity.,ISI Mark licence.,Factory and market surveillance/sample testing.,Online Scheme-I renewal.,Additional cement grade/variety where permitted.,BIS retesting procedure.,Scheme-I general fees + marking fee.,Manakonline and cement-specific documents.,"Scheme-I process timelines, case dependent.",https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-01570,BIS_Standards_Intelligence,16,STD-8042,White Portland Cement,Scheme-I,Cement manufacturer,Manakonline application → cement-factory assessment → sample testing → conformity decision → ISI licence.,Application; plant/factory information; process flow; raw-material details; QC/testing arrangements; SIT and PM records.,"Cement manufacturing, grinding/blending and QC infrastructure.","Cement chemical/physical testing laboratory, weighing, fineness, setting-time and strength equipment.","Raw-material control, clinker/cement composition, grinding, storage, packing and traceability.",Chemical/physical routine tests under SIT.,"Insoluble residue, LOI, fineness, setting time, degree of whiteness.",BIS cement-factory inspection and surveillance.,Cement laboratory/in-house or BIS-recognized laboratory as prescribed.,Factory + process + QC/testing + cement conformity.,ISI Mark licence.,Factory and market surveillance/sample testing.,Online Scheme-I renewal.,Additional cement grade/variety where permitted.,BIS retesting procedure.,Scheme-I general fees + marking fee.,Manakonline and cement-specific documents.,"Scheme-I process timelines, case dependent.",https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-01571,BIS_Standards_Intelligence,17,STD-8043,Hydrophobic Portland Cement,Scheme-I,Cement manufacturer,Manakonline application → cement-factory assessment → sample testing → conformity decision → ISI licence.,Application; plant/factory information; process flow; raw-material details; QC/testing arrangements; SIT and PM records.,"Cement manufacturing, grinding/blending and QC infrastructure.","Cement chemical/physical testing laboratory, weighing, fineness, setting-time and strength equipment.","Raw-material control, clinker/cement composition, grinding, storage, packing and traceability.",Chemical/physical routine tests under SIT.,Chemical/physical requirements and IS performance tests.,BIS cement-factory inspection and surveillance.,Cement laboratory/in-house or BIS-recognized laboratory as prescribed.,Factory + process + QC/testing + cement conformity.,ISI Mark licence.,Factory and market surveillance/sample testing.,Online Scheme-I renewal.,Additional cement grade/variety where permitted.,BIS retesting procedure.,Scheme-I general fees + marking fee.,Manakonline and cement-specific documents.,"Scheme-I process timelines, case dependent.",https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-00656,BIS_Standards_Intelligence,18,STD-16415,Composite Cement,Scheme-I,Cement manufacturer,Manakonline application → cement-factory assessment → sample testing → conformity decision → ISI licence.,Application; plant/factory information; process flow; raw-material details; QC/testing arrangements; SIT and PM records.,"Cement manufacturing, grinding/blending and QC infrastructure.","Cement chemical/physical testing laboratory, weighing, fineness, setting-time and strength equipment.","Raw-material control, clinker/cement composition, grinding, storage, packing and traceability.",Chemical/physical routine tests under SIT.,"Insoluble residue, LOI, fineness, setting time, magnesia, sulphide sulphur.",BIS cement-factory inspection and surveillance.,Cement laboratory/in-house or BIS-recognized laboratory as prescribed.,Factory + process + QC/testing + cement conformity.,ISI Mark licence.,Factory and market surveillance/sample testing.,Online Scheme-I renewal.,Additional cement grade/variety where permitted.,BIS retesting procedure.,Scheme-I general fees + marking fee.,Manakonline and cement-specific documents.,"Scheme-I process timelines, case dependent.",https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-01730,BIS_Standards_Intelligence,19,STD-9873-P1,Safety of Toys — Mechanical & Physical,Scheme-I,Manufacturer of toys conforming to IS 9873 Part 1,Manakonline → factory assessment → toy testing → conformity decision → licence,"Application, factory/product information, model details, process information, QC/testing documents and Product Manual/SIT documentation.",Toy manufacturing facility,Toy safety test equipment,"Manufacturing controls, toy construction and safety requirements",Routine inspection and testing,"Mechanical/physical, flammability, migration of elements, phthalates, electric-toy tests depending on applicable part.",BIS factory inspection and surveillance,Recognized/in-house toy laboratory,Toy safety conformity,ISI Mark licence,Factory + market surveillance and toy sample testing,Scheme-I renewal,CSoL,BIS retesting procedure,Scheme-I fees,Manakonline forms,Case dependent,https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-01731,BIS_Standards_Intelligence,20,STD-9873-P2,Safety of Toys — Flammability,Scheme-I,Manufacturer of toys,Same Scheme-I procedure,"Application, factory/product information, model details, process information, QC/testing documents.",Toy manufacturing facility,Flammability test apparatus,Manufacturing controls to avoid prohibited/unsafe construction,Routine inspection,Flammability tests according to Part 2,BIS surveillance,Recognized/in-house toy laboratory,Toy safety conformity,ISI Mark,BIS surveillance,Scheme-I procedures,CSoL,BIS retesting procedure,Scheme-I fees,Manakonline forms,Case dependent,https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-01732,BIS_Standards_Intelligence,21,STD-9873-P3,Safety of Toys — Migration of Certain Elements,Scheme-I,Manufacturer of toys,Same Scheme-I procedure,"Application, factory/product information, model details, process information, QC/testing documents.",Toy manufacturing facility,Chemical analysis equipment,Manufacturing/material controls,Routine inspection,Migration tests for specified elements,BIS surveillance,Recognized/in-house chemical laboratory,Toy safety conformity,ISI Mark,BIS surveillance,Scheme-I procedures,CSoL,BIS retesting procedure,Scheme-I fees,Manakonline forms,Case dependent,https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-01733,BIS_Standards_Intelligence,22,STD-9873-P4,Swings | Slides and Similar Activity Toys,Scheme-I,Manufacturer of activity toys,Same Scheme-I procedure,"Application, factory/product information, model details, process information, QC/testing documents.",Activity toy manufacturing facility,Load/stability equipment,Structural/construction controls,Routine inspection,"Structural, stability, load and safety tests",BIS surveillance,Recognized/in-house laboratory,Toy safety conformity,ISI Mark,BIS surveillance,Scheme-I procedures,CSoL,BIS retesting procedure,Scheme-I fees,Manakonline forms,Case dependent,https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-00530,BIS_Standards_Intelligence,23,STD-15644,Safety of Electric Toys,Scheme-I,Manufacturer of electric toys,Same Scheme-I procedure,"Application, factory/product information, model details, process information, QC/testing documents.",Electric toy manufacturing facility,Electrical safety test equipment,Electrical construction and safety controls,Routine inspection,Electrical safety/performance tests,BIS surveillance,Recognized/in-house electrical laboratory,Toy safety conformity,ISI Mark,BIS surveillance,Scheme-I procedures,CSoL,BIS retesting procedure,Scheme-I fees,Manakonline forms,Case dependent,https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-01069,BIS_Standards_Intelligence,24,STD-2835,Flat Transparent Sheet Glass,Scheme-I,Manufacturer of flat transparent sheet glass,Manakonline → assessment → testing → grant,Factory/product/QC/test documents + PM/SIT,Glass production/processing facility,Glass measurement/inspection/testing facilities,Batch/process/quality controls,Routine conformity tests,"Dimensional, appearance, optical and applicable glass tests",BIS inspection,In-house/recognized lab,Factory + product conformity,ISI Mark,Factory/market surveillance,Online renewal,Applicable scope-change procedure,BIS procedure,Scheme-I fees,Manakonline forms,Case dependent,https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-01015,BIS_Standards_Intelligence,25,STD-2553-P1,Safety Glass — Architectural | Building and General Uses,Scheme-I,Safety-glass manufacturer,Same,Same product-specific documentation,Glass processing/toughening/lamination as applicable,Safety-glass testing facility,Heat treatment/processing/inspection controls,Routine safety-glass tests,Optical/surface/fragmentation/safety characteristics,BIS inspection,Recognized laboratory where required,Product + process conformity,ISI Mark,Surveillance,Renewal,Scope change,Retesting,Scheme-I fees,Manakonline forms,Case dependent,https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-01016,BIS_Standards_Intelligence,26,STD-2553-P2,Safety Glass for Road Transport,Scheme-I,Road-transport safety-glass manufacturer,Same,Product/factory/QC/testing docs,Safety-glass processing facility,"Optical, fragmentation, impact etc. equipment","Processing, dimensions, optical and safety controls",SIT testing,"Light transmittance, optical faults, shape, fragmentation, impact etc.",BIS factory inspection,Recognized/in-house laboratory,Product conformity + production/testing capability,ISI Mark,Surveillance,Renewal,CSoL,Retesting,Scheme-I fees,Manakonline forms,Case dependent,https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-01707,BIS_Standards_Intelligence,27,STD-9573-P1,Rubber Hose for LPG — Industrial Application,Scheme-I,Industrial LPG rubber-hose manufacturer,Same,Factory/product/process/QC/SIT documents,Rubber hose manufacturing facility,"Rubber tensile, pressure, dimensional equipment",Compounding/extrusion/reinforcement/vulcanization,Routine rubber-hose tests,"Dimensions, tensile/pressure/grip/construction tests",BIS inspection,Suitable rubber-testing lab,Product/process conformity,ISI Mark,Surveillance,Renewal,CSoL,Retesting,Scheme-I fees,Manakonline forms,Case dependent,https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-01708,BIS_Standards_Intelligence,28,STD-9573-P2,Rubber Hose for LPG — Domestic & Commercial Application,Scheme-I,Domestic/commercial LPG hose manufacturer,Same,Same,Rubber hose manufacturing,Pressure/flexibility/ozone/tensile testing facilities,Lining/reinforcement/cover/construction controls,SIT,"Material, dimensions, tensile, adhesion, flexibility, ozone, pressure, grip and burning tests",BIS inspection,In-house/recognized,Product + SIT conformity,ISI Mark,Surveillance,Renewal,CSoL,Retesting,Scheme-I fees,Manakonline forms,Case dependent,https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-00497,BIS_Standards_Intelligence,29,STD-15392,Aluminium and Aluminium Alloy Bare Foil for Food Packaging,Scheme-I,Aluminium foil manufacturer,Same,Factory/process/product/QC documents,Foil rolling/finishing facility,"Thickness, tensile, chemical/surface testing","Rolling, finishing, lubricant and surface controls",Routine tests,"Pinhole, defects, thickness, dimensions, surface, tensile, alloying elements",BIS inspection,Metal/foil testing laboratory,Product + process conformity,ISI Mark,Surveillance,Renewal,CSoL,Retesting,Scheme-I fees,Manakonline forms,Case dependent,https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-00836,BIS_Standards_Intelligence,30,STD-17875,Stainless Steel Seamless Pipes and Tubes for General Service,Scheme-I,Stainless-steel seamless pipe/tube manufacturer covered by applicable QCO,Manakonline → factory assessment → testing → grant,Technical/factory/QC/process/test documents,Seamless tube manufacturing/heat-treatment facility,"Chemical, tensile, hardness, corrosion, flattening/flaring, dimensional/NDT facilities","Steel grade, heat treatment, forming and finishing control",Routine chemical/mechanical/dimensional tests,"Chemistry, tensile, hardness, corrosion, flaring, flattening, grain size, dimensions",BIS inspection,Metal-testing laboratory,Factory + product conformity,ISI Mark,Factory/market surveillance,Renewal,Scope change,Retesting,Scheme-I fees,Manakonline/BIS forms,Case dependent,https://www.bis.gov.in/product-certification/product-certification-process/
STANDARD,STD-00837,BIS_Standards_Intelligence,31,STD-17876,Stainless Steel Welded Pipes and Tubes for General Service,Scheme-I,Stainless-steel welded pipe/tube manufacturer,Same,Same + welding/process documents,Welded-pipe production,"Chemistry, weld, mechanical/dimensional/NDT equipment","Forming, welding, heat treatment, finishing",Routine inspection/testing,"Chemical, dimensional, mechanical and weld/integrity tests",BIS inspection,Recognized/in-house metal lab,Product + process + testing conformity,ISI Mark,Surveillance,Renewal,CSoL,Retesting,Scheme-I fees,Manakonline,Case dependent,https://www.bis.gov.in/product-certification/product-certification-process/
