canonical_entity,canonical_entity_id,source_sheet,source_row,source_product_ids,product_name,alternate_names,product_category,product_subcategory,product_description,keywords,related_is_text,related_qco_text,related_scheme_text,source_url
PRODUCT,PROD-00153,Products_Details,12,IS 1489 (Part 2):2015,Portland Pozzolana Cement - Specification - Part 2: Calcined Clay Based,PPC (Calcined Clay Based),Civil Engineering/Construction Materials,Blended Hydraulic Cements,Standard specifying requirements for Portland Pozzolana Cement produced by blending or intergrinding calcined clay pozzolana with Portland cement clinker and gypsum.,PPC calcined clay | pozzolana | hydraulic cement | IS 1489 Part 2,IS 1489 (Part 1) | IS 4031 | IS 4032,Cement (Quality Control) Order,BIS Scheme-I (ISI Mark),BIS Connect - IS Details
PRODUCT,PROD-00133,Products_Details,13,IS 269:2015,Ordinary Portland Cement - Specification,OPC | OPC 33 / 43 / 53 Grade,Civil Engineering/Construction Materials,Standard Portland Cements,"Unified standard covering the physical and chemical requirements, sampling, and testing of 33, 43, and 53 grade Ordinary Portland Cement for general construction.",OPC | ordinary portland cement | 43 grade | 53 grade | IS 269 | ISI mark,IS 4031 | IS 4032 | IS 456,Cement (Quality Control) Order,BIS Scheme-I (ISI Mark),BIS Connect - IS Details
PRODUCT,PROD-00159,Products_Details,14,IS 455:2015,Portland Slag Cement - Specification,PSC | Slag Cement,Civil Engineering/Construction Materials,Blended Hydraulic Cements,"Prescribes manufacturing, chemical, and physical characteristics of Portland Slag Cement made by inter-grinding clinker, gypsum, and granulated blast-furnace slag.",PSC | slag cement | blast furnace slag | blended cement | IS 455,IS 269 | IS 4031 | IS 12089,Cement (Quality Control) Order,BIS Scheme-I (ISI Mark),BIS Connect - IS Details
PRODUCT,PROD-00169,Products_Details,15,IS 8041:1990,Rapid Hardening Portland Cement - Specification,RHPC | High Early Strength Cement,Civil Engineering/Construction Materials,Special Portland Cements,"Specifies properties for high-early-strength Portland cement intended for rapid construction cycles, precast components, and cold-weather work.",RHPC | rapid hardening | early strength cement | IS 8041,IS 269 | IS 4031 | IS 4032,Cement (Quality Control) Order,BIS Scheme-I (ISI Mark),BIS Connect - IS Details
PRODUCT,PROD-00306,Products_Details,16,IS 8042:2015,White Portland Cement - Specification,White Cement,Civil Engineering/Construction Materials,Special Portland Cements,"Specifies composition, whiteness index, physical traits, and compressive strength criteria for White Portland Cement used in decorative and architectural applications.",white cement | architectural cement | reflectance | IS 8042,IS 269 | IS 4031 | IS 4032,Cement (Quality Control) Order,BIS Scheme-I (ISI Mark),BIS Connect - IS Details
PRODUCT,PROD-00112,Products_Details,17,IS 8043:1991,Hydrophobic Portland Cement - Specification,Waterproof Portland Cement | Water-Repellent Cement,Civil Engineering/Construction Materials,Special Portland Cements,Covers Portland cement treated with film-forming hydrophobic admixtures to prevent moisture deterioration during prolonged storage and transport in humid conditions.,hydrophobic cement | water repellent cement | IS 8043,IS 269 | IS 4031 | IS 4032,Cement (Quality Control) Order,BIS Scheme-I (ISI Mark),BIS Connect - IS Details
PRODUCT,PROD-00067,Products_Details,18,IS 16415:2015,Composite Cement - Specification,Multi-blend Cement,Civil Engineering/Construction Materials,Blended Hydraulic Cements,Specifies requirements for ternary blended composite cement produced by intergrinding Portland clinker with both granulated slag and fly ash / pozzolana.,composite cement | ternary cement | fly ash slag blend | IS 16415,IS 269 | IS 455 | IS 1489,Cement (Quality Control) Order,BIS Scheme-I (ISI Mark),BIS Connect - IS Details
PRODUCT,PROD-00214,Products_Details,19,IS 9873 (Part 1):2012 / ISO 8124-1,Safety of Toys - Part 1: Safety Aspects Related to Mechanical and Physical Properties,Physical and Mechanical Toy Safety Standard,Consumer Products/Toys,Toy Safety Standards,"Specifies test methods and safety limits for physical and mechanical hazards in toys (such as sharp edges, choking hazards, small parts, points, and structural integrity).",toy safety | small parts | choking hazards | mechanical safety | IS 9873 Part 1,IS 9873 | IS 15644,Toys (Quality Control) Order,BIS Scheme-I (ISI Mark Scheme),BIS Connect - IS Details
PRODUCT,PROD-00215,Products_Details,20,IS 9873 (Part 2):2017 / ISO 8124-2,Safety of Toys - Part 2: Flammability,Toy Flammability Safety Standard,Consumer Products/Toys,Toy Safety Standards,"Specifies the categories of flammable materials forbidden in toy construction and test methods for the rate of flame spread on plush toys, costumes, and disguises.",toy flammability | flame spread | fire safety | IS 9873 Part 2,IS 9873 (Part 1) | IS 9873 (Part 3),Toys (Quality Control) Order,BIS Scheme-I (ISI Mark),BIS Connect - IS Details
PRODUCT,PROD-00216,Products_Details,21,IS 9873 (Part 3):2017 / ISO 8124-3,Safety of Toys - Part 3: Migration of Certain Elements,Toy Chemical Safety / Heavy Metals Limit,Consumer Products/Toys,Chemical Safety of Toys,"Details the maximum acceptable migration limits and extraction test procedures for toxic elements (lead, cadmium, antimony, arsenic, barium, chromium, mercury, and selenium) from toy materials.",heavy metals | elemental migration | lead in toys | IS 9873 Part 3,IS 9873 (Part 1) | IS 9873 (Part 6),Toys (Quality Control) Order,BIS Scheme-I (ISI Mark),BIS Connect - IS Details
PRODUCT,PROD-00219,Products_Details,22,IS 9873 (Part 4):2017 / ISO 8124-4,"Safety of Toys - Part 4: Swings, Slides and Similar Activity Toys for Domestic Use",Activity Toys Safety Standard,Consumer Products/Toys,Activity & Outdoor Toys,"Specifies structural requirements, entanglement hazards, entrapment limits, and stability testing for domestic activity toys including swings, slides, and climbing frames.",activity toys | domestic swings | slides | entrapment test | IS 9873 Part 4,IS 9873 (Part 1),Toys (Quality Control) Order,BIS Scheme-I (ISI Mark),BIS Connect - IS Details
PRODUCT,PROD-00203,Products_Details,23,IS 15644:2006 / IEC 62115,Safety of Electric Toys,Electric Toy Safety,Consumer Electronics/Toys,Electrical Safety,"Outlines electrical, thermal, radiation, and battery-safety criteria to prevent electrical shocks, burns, short-circuits, and fire risks from battery-operated or mains-powered toys.",electric toys | battery toys | electrical safety | IS 15644 | IEC 62115,IS 9873 | IS 302,Toys (Quality Control) Order,BIS Scheme-I (ISI Mark),BIS Connect - IS Details
PRODUCT,PROD-00103,Products_Details,24,IS 2835:1987,Flat Transparent Sheet Glass - Specification,Sheet Glass | Window Glass,Civil Engineering/Building Glass,Glazing Materials,"Covers dimensions, thickness tolerances, optical distortion, inclusions, and physical performance of flat transparent sheet glass used in general glazing and framing.",sheet glass | flat glass | window panes | glazing | IS 2835,IS 2553 | IS 14900,Flat Glass (Quality Control) Order,BIS Scheme-I (ISI Mark),BIS Connect - IS Details
PRODUCT,PROD-00197,Products_Details,25,IS 2553 (Part 1):2018,"Safety Glass - Specification - Part 1: Architectural, Building and General Purpose",Architectural Toughened / Laminated Safety Glass,Building Materials/Glass,Safety & Security Glazing,"Specifies mechanical strength, fragmentation behavior, impact resistance, and optical parameters for toughened and laminated safety glass used in buildings and civil structures.",toughened glass | architectural safety glass | laminated glass | IS 2553 Part 1,IS 2553 (Part 2) | IS 2835,Safety Glass (Quality Control) Order,BIS Scheme-I (ISI Mark),BIS Connect - IS Details
PRODUCT,PROD-00198,Products_Details,26,IS 2553 (Part 2):2019,Safety Glass - Specification - Part 2: For Road Transport,Automotive Safety Glass (Windshields & Side Windows),Automotive Components/Glass,Automotive Safety Glazing,"Mandates structural integrity, shatter characteristics, light transmission, and impact resistance for automotive windshields, side glasses, and rear windows.",automotive glass | windshield glass | toughened automotive glass | IS 2553 Part 2,IS 2553 (Part 1),Safety Glass (Quality Control) Order / CMVR,BIS Scheme-I (ISI Mark),BIS Connect - IS Details
PRODUCT,PROD-00186,Products_Details,27,IS 9573 (Part 1):2017,Rubber Hoses for Liquefied Petroleum Gas (LPG) - Specification - Part 1: For Commercial and Industrial Applications,Industrial LPG Hose,Mechanical/Petroleum Handling Equipment,Flexible Rubber Hoses,"Covers design, bursting pressure, ozone resistance, and flame propagation resistance of reinforced rubber hoses used in industrial and bulk LPG operations.",LPG hose | industrial gas hose | rubber hose | IS 9573 Part 1,IS 9573 (Part 2),Domestic / Industrial Gas Equipment Orders,BIS Scheme-I (ISI Mark),BIS Connect - IS Details
PRODUCT,PROD-00187,Products_Details,28,IS 9573 (Part 2):2017,Rubber Hoses for Liquefied Petroleum Gas (LPG) - Specification - Part 2: For Domestic Applications,Domestic Suraksha LPG Hose / Gas Pipe,Domestic Gas Appliances/Safety Accessories,Flexible Domestic Gas Hoses,"Specifies construction, flexibility, wire-braid reinforcement, adhesion, and burst pressure parameters for domestic LPG cylinder connections (Suraksha hose type).",domestic LPG hose | suraksha hose | cooking gas pipe | IS 9573 Part 2,IS 9573 (Part 1) | IS 4246,LPG Hoses (Quality Control) Order,BIS Scheme-I (ISI Mark),BIS Connect - IS Details
PRODUCT,PROD-00045,Products_Details,29,IS 15392:2003,Aluminium and Aluminium Alloy Corrugated Sheets - Specification,Corrugated Aluminium Roofing Sheets,Civil Engineering/Building Products,Metal Roofing & Cladding,"Covers chemical composition, dimension tolerances, profile pitch/depth, and load-bearing properties of corrugated aluminium sheets intended for roofing and siding.",aluminium roofing sheet | corrugated sheet | industrial cladding | IS 15392,IS 737 | IS 1254,Aluminium and Aluminium Alloy Products (Quality Control) Order,BIS Scheme-I (ISI Mark),BIS Connect - IS Details
PRODUCT,PROD-00232,Products_Details,30,IS 17875:2022,Seamless Stainless Steel Pipes and Tubes - Specification,Seamless SS Pipes / SS Tubes,Metallurgical Engineering/Steel Products,Stainless Steel Piping & Tubing,"Specifies chemical grades, mechanical properties, hydrostatic testing, flaring/flattening tests, and dimensional tolerances for seamless stainless steel pipes and tubes.",seamless pipe | stainless steel tube | SS pipe | IS 17875,IS 17876:2022 | IS 6911,Stainless Steel Pipes and Tubes (Quality Control) Order,BIS Scheme-I (ISI Mark Scheme),BIS Connect - IS Details
PRODUCT,PROD-00304,Products_Details,31,IS 17876:2022,Welded Stainless Steel Pipes and Tubes - Specification,ERW / Welded SS Pipes & Tubes,Metallurgical Engineering/Steel Products,Stainless Steel Piping & Tubing,"Standard specifying manufacturing, weld seam integrity, non-destructive testing, hydrostatic properties, and corrosion resistance for welded stainless steel pipes and tubes.",welded pipe | welded stainless steel | SS tubing | IS 17876,IS 17875:2022 | IS 6911,Stainless Steel Pipes and Tubes (Quality Control) Order,BIS Scheme-I (ISI Mark Scheme),BIS Connect - IS Details
PRODUCT,PROD-00101,Products_Details,32,IS 2083:2024,Flashlights - Specification,Torches | Portable Electric Torches | LED Flashlights,Electrotechnical/Lighting Equipment,Portable Luminaires,"Covers design, ingress protection, luminous efficacy, battery compartment durability, switch endurance, and safety requirements for portable electric flashlights and torches.",flashlight | torch | LED torch | portable lighting | IS 2083,IS 10322 | IS 302,Electrical Appliances / Flashlights (Quality Control) Order,BIS Scheme-I (ISI Mark),BIS Connect - IS Details
PRODUCT,PROD-00206,Products_Details,33,IS 302 (Part 1):2024 / IEC 60335-1,Safety of Household and Similar Electrical Appliances - Part 1: General Requirements,General Electrical Appliance Safety,Electrotechnical/Electrical Appliances,General Appliance Safety,"Horizontal safety standard setting requirements against electrical shock, mechanical injury, fire, radiation, abnormal operation, and heating across household electrical appliances.",appliance safety | electrical shock protection | insulation | IS 302 Part 1 | IEC 60335-1,IS 302 (Part 2,Electrical Appliances (Quality Control) Order,BIS Scheme-I (ISI Mark Scheme),BIS Connect - IS Details
PRODUCT,PROD-00255,Products_Details,34,IS 15844 (Part 1):2023,Sports Footwear - Specification - Part 1: General Purpose Sports Footwear,General Athletic Shoes | Running Shoes | Training Footwear,Textiles and Leather Goods/Footwear,Athletic & Performance Footwear,"Specifies construction, upper-to-sole bonding strength, abrasion resistance, slip resistance, flex endurance, and chemical limits for general-purpose sports footwear.",sports footwear | athletic shoes | sole bonding | abrasion test | IS 15844 Part 1,IS 15844 (Part 2) | IS 15844 (Part 3),Footwear made from Leather and other materials (Quality Control) Order,BIS Scheme-I (ISI Mark Scheme),BIS Connect - IS Details
PRODUCT,PROD-00256,Products_Details,35,IS 15844 (Part 2):2023,Sports Footwear - Specification - Part 2: Performance Sports Footwear,Professional Athletic Footwear | Sport-Specific Shoes,Textiles and Leather Goods/Footwear,High-Performance Footwear,"Sets enhanced biomechanical, impact-absorption, traction, and durability performance requirements for professional and sport-specific performance shoes.",performance sports shoes | shock absorption | sports safety | IS 15844 Part 2,IS 15844 (Part 1) | IS 15844 (Part 3),Footwear (Quality Control) Order,BIS Scheme-I (ISI Mark),BIS Connect - IS Details
PRODUCT,PROD-00257,Products_Details,36,IS 15844 (Part 3):2024,Sports Footwear - Specification - Part 3: Specialized/Outdoor & Trekking Footwear,Trekking Shoes | Outdoor Sports Footwear,Textiles and Leather Goods/Footwear,Specialized Outdoor Footwear,"Mandates water penetration resistance, ankle support stability, heavy-tread sole durability, and extreme terrain wear resistance for outdoor and trekking sports footwear.",trekking shoes | outdoor footwear | trail shoes | IS 15844 Part 3,IS 15844 (Part 1) | IS 15844 (Part 2),Footwear (Quality Control) Order,BIS Scheme-I (ISI Mark),BIS Connect - IS Details
PRODUCT,PROD-00094,Products_Details,37,IS 17012:2018,Ethylene Vinyl Acetate (EVA) Footwear - Specification,Moulded EVA Slippers | EVA Clogs & Flip-Flops,Footwear/Synthetic Footwear,Moulded Casual Footwear,"Covers material density, hardness, tear strength, shrinkage, and hazardous substance testing for single-moulded or assembled EVA casual footwear.",EVA footwear | moulded slippers | flip flops | casual clogs | IS 17012,IS 6721 | IS 10702,Footwear made from all-Rubber and all-Polymeric material (Quality Control) Order,BIS Scheme-I (ISI Mark),BIS Connect - IS Details
PRODUCT,PROD-00146,Products_Details,38,IS 17037:2018,Polyvinyl Chloride (PVC) Footwear - Specification,Moulded PVC Slippers & Sandals,Footwear/Synthetic Footwear,Moulded Polymer Footwear,"Specifies material compounding, tensile performance, flexing resistance, and environmental safety parameters for direct-injection or fabricated PVC sandals and shoes.",PVC footwear | PVC sandals | polymer shoes | IS 17037,IS 12254 | IS 17012,Footwear made from all-Rubber and all-Polymeric material (Quality Control) Order,BIS Scheme-I (ISI Mark),BIS Connect - IS Details
PRODUCT,PROD-00060,Products_Details,39,IS 17043 (Part 1):2024,Casual Footwear - Specification - Part 1: Direct Moulded Process,Direct Injected Casual Shoes / Moulded Casuals,Footwear/Lifestyle Footwear,Casual Footwear,"Outlines strength, sole adhesion, durability, and toxic substance limits for daily casual shoes manufactured via direct sole injection/moulding processes.",casual footwear | direct moulded shoes | lifestyle footwear | IS 17043 Part 1,IS 17043 (Part 2) | IS 15844,Footwear (Quality Control) Order,BIS Scheme-I (ISI Mark),BIS Connect - IS Details
PRODUCT,PROD-00061,Products_Details,40,IS 17043 (Part 2):2024,Casual Footwear - Specification - Part 2: Stuck-On/Cemented Construction Process,Cemented Casual Shoes | Fabricated Casual Footwear,Footwear/Lifestyle Footwear,Casual Footwear,"Specifies upper material strength, sole adhesion bond strength, flexing resistance, and heel attachment integrity for cemented/stuck-on casual footwear.",stuck-on footwear | cemented casual shoes | footwear adhesion | IS 17043 Part 2,IS 17043 (Part 1),Footwear (Quality Control) Order,BIS Scheme-I (ISI Mark),BIS Connect - IS Details
PRODUCT,PROD-00139,Products_Details,41,IS 15298 (Part 2):2016 / ISO 20345,Personal Protective Equipment - Safety Footwear - Specification,Industrial Safety Shoes | Steel-Toe Safety Boots,Personal Protective Equipment (PPE)/Industrial Safety,Occupational & Protective Footwear,"Specifies design, 200J toecap impact resistance, 15 kN compression protection, slip resistance, fuel oil resistance, and anti-puncture requirements for industrial safety footwear.",safety footwear | steel toe shoe | PPE footwear | ISO 20345 | IS 15298 Part 2,IS 15298 (Part 1,Personal Protective Equipment - Footwear (Quality Control) Order,BIS Scheme-I (ISI Mark Scheme),BIS Connect - IS Details
