canonical_entity,canonical_entity_id,source_sheet,source_row,source_scheme_ids,scheme_name,scheme_code,scheme_type,certification_type,related_product_text,canonical_is_number,mandatory_voluntary,certification_scope,certification_requirements,related_qco_text,related_product_manual_text,related_sit_text,source_url
SCHEME,SCH-00001,BIS_Schemes_Master,30,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,Stainless Steel Seamless Pipes and Tubes for General Service,STD-17875,MANDATORY,Seamless stainless steel pipes and tubes for general corrosion-resistant service,"Chemical composition, mechanical properties, and hydrostatic/non-destructive testing",Stainless Steel Pipes and Tubes QCO,PM for SS Pipes,SIT for Steel,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,31,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,Stainless Steel Welded Pipes and Tubes for General Service,STD-17876,MANDATORY,Welded stainless steel pipes and tubes for general applications,"Weld integrity, flattening tests, chemical parameters, and dimensions",Stainless Steel Pipes and Tubes QCO,PM for SS Pipes,SIT for Steel,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,32,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,Flashlights / Portable Lighting Devices,STD-2083,MANDATORY,Handheld battery-operated torches and flashlights,"Electrical safety, insulation resistance, optical performance, and drop tests",Flashlights Quality Control Order,PM for Flashlights,SIT for Electrical,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,33,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,General Safety Requirements for Household and Similar Electrical Appliances,STD-302-P1,MANDATORY,Household and commercial electrical appliances operating up to 250V (single phase) / 480V,"Protection against electric shock, fire, mechanical hazards, and overheating",Electrical Appliances QCO,PM for Electrical Appliances,SIT for Electrical,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,34,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,Sports Footwear for General Purpose,STD-15844-P1,MANDATORY,General-purpose sports shoes and footwear,"Sole adhesion, flexing resistance, impact cushioning, and upper tear strength",Footwear Quality Control Order,PM for Footwear,SIT for Footwear,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,35,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,Sports Footwear for Performance Sports,STD-15844-P2,MANDATORY,Specialized performance sports shoes,"Advanced impact absorption, grip, torsional rigidity, and durability benchmarks",Footwear Quality Control Order,PM for Footwear,SIT for Footwear,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,36,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,Sports Footwear for Professional Sports,STD-15844-P3,MANDATORY,Professional-grade athletic footwear,"High-stress athletic performance metrics, material safety, and heavy usage endurance",Footwear Quality Control Order,PM for Footwear,SIT for Footwear,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,37,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,High Ankle Tactical Boots with PU-Rubber Sole,STD-17012,MANDATORY,Specialized tactical boots featuring polyurethane-rubber composite soles,"Ankle support, slip resistance, puncture resistance, and water resistance",Footwear Quality Control Order,PM for Footwear,SIT for Footwear,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,38,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,Antiriot Shoes,STD-17037,MANDATORY,Protective footwear for law enforcement and riot control operations,"Metatarsal protection, flame retardancy of upper, anti-penetration sole, and grip",Footwear Quality Control Order,PM for Footwear,SIT for Footwear,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,39,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,Shoes for Services,STD-17043-P1,MANDATORY,Uniform footwear designated for uniformed services,"Durability, shine retention, slip resistance, and comfort parameters",Footwear Quality Control Order,PM for Footwear,SIT for Footwear,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,40,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,Shoes for General Purpose,STD-17043-P2,MANDATORY,Standard utility service shoes,"Structural wear resistance, heel energy absorption, and sole bonding strength",Footwear Quality Control Order,PM for Footwear,SIT for Footwear,Scheme – I (ISI Mark Scheme)
SCHEME,SCH-00001,BIS_Schemes_Master,41,SCH-I,Scheme – I (ISI Mark Scheme),1,Product Certification,ISI Mark,Personal Protective Equipment – Safety Footwear,STD-15298-P2,MANDATORY,Safety footwear incorporating protective toe-caps against impact,"Toe-cap impact resistance (200 Joules), anti-static properties, and slip resistance",PPE Footwear Quality Control Order,PM for PPE Footwear,SIT for Footwear,Scheme – I (ISI Mark Scheme)
