faq_id,question,answer,faq_category,related_is_text,related_product_text,related_qco_text,related_scheme_text,document_reference,source_url,source_reference_label,source_faq_ids,source_file_count,source_file_ids,source_files,source_sheets,source_rows,record_disposition,conflict_count,conflict_fields,review_flag,review_reason,populated_field_count,completeness_pct
FAQ-00017,Can jewellery failing the declared purity be hallmarked at the immediately lower grade?,No. The jewellery must be rejected and returned to the jeweller.,,,,,,A&H Centre FAQ,https://www.bis.gov.in/a-h-centre/,,HM-FAQ-030,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:78,CANONICAL,0,,,,5,45.45
FAQ-00018,Can Off-Site Centres operate in mandatory-hallmarking districts?,Yes. BIS states that an Off-Site Centre can also be established in districts covered under mandatory hallmarking.,,,,,,A&H Centre FAQ,https://www.bis.gov.in/a-h-centre/,,HM-FAQ-040,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:88,CANONICAL,0,,,,5,45.45
FAQ-00019,Can old jewellery be sold after hallmarking becomes mandatory?,Yes. Consumers can sell old hallmarked or unhallmarked jewellery to jewellers.,,,,,,Mandatory System Consumer FAQ,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/,,HM-FAQ-045,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:93,CANONICAL,0,,,,5,45.45
FAQ-00020,Can one application cover different products and IS standards manufactured at the same factory?,No. A separate application is required for each product and Indian Standard even when they are manufactured at the same factory location.,,,,,,Product Certification FAQ Q10,https://www.bis.gov.in/product-certification/product-certification-faq/,,PC-FAQ-010,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:11,CANONICAL,0,,,,5,45.45
FAQ-00021,Can one application cover the same product manufactured at different factories?,"No. A separate application is required for every factory location, even when the product and Indian Standard are the same.",,,,,,Product Certification FAQ Q11,https://www.bis.gov.in/product-certification/product-certification-faq/,,PC-FAQ-011,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:12,CANONICAL,0,,,,5,45.45
FAQ-00022,Can one application cover the same product manufactured at different locations?,No. A separate application is required for each product/IS and each manufacturing location.,,,,,,FMCS FAQ Q14,https://www.bis.gov.in/fmcs/fmcs-faqs/,,FMCS-FAQ-014,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:43,CANONICAL,0,,,,5,45.45
FAQ-00023,Can one BIS licence be used for every variety of a product made in the factory?,"No. A licence is granted for one product/Indian Standard and may cover multiple varieties, grades or sizes only to the extent they are included in the licence scope. The Standard Mark cannot be used on varieties outside that approved scope.",,,,,,Product Certification FAQ Q23/Q24,https://www.bis.gov.in/product-certification/product-certification-faq/,,PC-FAQ-023,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:24,CANONICAL,0,,,,5,45.45
FAQ-00024,Can one FMCS application cover different products/IS standards made at the same factory?,No. A separate application is required for each product/Indian Standard for each factory location.,,,,,,FMCS FAQ Q13,https://www.bis.gov.in/fmcs/fmcs-faqs/,,FMCS-FAQ-013,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:42,CANONICAL,0,,,,5,45.45
FAQ-00025,Do hallmarking charges include making charges or wastage?,No. Hallmarking charges do not include making charges or wastage charges.,,,,,,Hallmarking General FAQ Q12,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/,,HM-FAQ-014,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:62,CANONICAL,0,,,,5,45.45
FAQ-00026,Does BIS conduct surveillance after granting a licence?,"Yes. BIS conducts surprise factory surveillance inspections to verify that manufacturing infrastructure, process controls, QC and testing capabilities continue to be maintained. Factory testing may be witnessed, samples may be drawn for third-party laboratory testing, and market surveillance may also be carried out.",,,,,,Product Certification FAQ Q21,https://www.bis.gov.in/product-certification/product-certification-faq/,,PC-FAQ-021,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:22,CANONICAL,0,,,,5,45.45
FAQ-00027,Does the AIR have to be an Indian resident?,Yes. The AIR should be an Indian national and resident of India. A foreign national may qualify if employed by an Indian office/branch of the manufacturer and residing in India.,,,,,,FMCS FAQ Q7,https://www.bis.gov.in/fmcs/fmcs-faqs/,,FMCS-FAQ-007,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:36,CANONICAL,0,,,,5,45.45
FAQ-00028,For which products is a BIS licence mandatory?,BIS licensing is mandatory for products covered under the applicable compulsory-certification/QCO list.,,,,,,FMCS FAQ Q3,https://www.bis.gov.in/fmcs/fmcs-faqs/,,FMCS-FAQ-003,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:32,CANONICAL,0,,,,5,45.45
FAQ-00029,How can a consumer file a hallmarking complaint?,"The consumer can first approach the jeweller for compensation if retesting at a BIS-recognized A&H Centre establishes lower-than-declared purity. A complaint can also be made to BIS, which investigates the complainant and accused side, including jeweller and A&H Centre, before taking action under applicable law and regulations.",,,,,,A&H Centre FAQ,https://www.bis.gov.in/a-h-centre/,,HM-FAQ-044,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:92,CANONICAL,0,,,,5,45.45
FAQ-00030,How can I find the Indian Standard for my product if I do not know the IS number?,"Search for the Indian Standard corresponding to the product through Manakonline. If the relevant standard cannot be found, the manufacturer may contact the concerned BIS technical department.",,,,,,Product Certification FAQ Q2,https://www.bis.gov.in/product-certification/product-certification-faq/,,PC-FAQ-002,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:3,CANONICAL,0,,,,5,45.45
FAQ-00031,How do I apply for a BIS licence under FMCS?,"The foreign manufacturer submits the prescribed application with the required FMCS documents and fees. Current BIS guidance allows online FMCS applications through Manakonline; from 1 June 2026, only online applications are accepted.",,,,,,FMCS FAQ Q4; FMCS How-to-Apply,https://www.bis.gov.in/fmcs/certification-process/how-to-apply/,,FMCS-FAQ-004,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:33,CANONICAL,0,,,,5,45.45
FAQ-00032,How do I renew my BIS licence?,Renewal is requested online through the Manakonline dashboard. The renewal application must include production details for the relevant period for marking-fee calculation and the applicable renewal fee.,,,,,,Product Certification FAQ Q19,https://www.bis.gov.in/product-certification/product-certification-faq/,,PC-FAQ-019,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:20,CANONICAL,0,,,,5,45.45
FAQ-00033,How does a consumer register a BIS complaint?,"Complaints may be submitted offline or online through the BIS Care App, the BIS online complaint portal or by email to the BIS complaints address.",,,,,,Mandatory System Consumer FAQ,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/,,HM-FAQ-047,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:95,CANONICAL,0,,,,5,45.45
FAQ-00034,How does an A&H Centre obtain recognition?,"An assaying centre meeting IS 15820:2009 requirements for gold/silver jewellery/artefacts must apply online through Manakonline. BIS grants recognition after verifying infrastructure, quality-management system and trained/competent manpower.",,,,,,A&H Centre FAQ,https://www.bis.gov.in/a-h-centre/,,HM-FAQ-029,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:77,CANONICAL,0,,,,5,45.45
FAQ-00035,How does BIS grant a product-certification licence?,"BIS assesses manufacturing infrastructure, process controls, quality control and testing capabilities through a visit to the manufacturing premises. Product conformity is established through third-party laboratory testing, testing at the manufacturing premises or a combination of both.",,,,,,Product Certification FAQ Q5,https://www.bis.gov.in/product-certification/product-certification-faq/,,PC-FAQ-005,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:6,CANONICAL,0,,,,5,45.45
FAQ-00036,How does BIS registration/certification benefit a jeweller?,"It provides an indication of capability, evidence of commitment to quality and assurance of consistency in gold/silver jewellery purity and quality.",,,,,,Hallmarking General FAQ Q7,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/,,HM-FAQ-008,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:56,CANONICAL,0,,,,5,45.45
FAQ-00037,How does the digital hallmarking system help prevent fraudulent hallmarking?,The system records date/time stamps of assaying and hallmarking activities and uses a unique six-digit HUID that can be traced to the jeweller and A&H Centre. Consumers can verify HUID through the BIS Care App.,,,,,,A&H Centre FAQ,https://www.bis.gov.in/a-h-centre/,,HM-FAQ-034,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:82,CANONICAL,0,,,,5,45.45
FAQ-00038,How long does FMCS licensing normally take?,"BIS states that average grant time is generally six months from receipt and recording of a complete application. The period can vary because of queries, inspections, sample transportation and outstanding payments.",,,,,,FMCS FAQ Q12,https://www.bis.gov.in/fmcs/fmcs-faqs/,,FMCS-FAQ-012,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:41,CANONICAL,0,,,,5,45.45
FAQ-00039,How long does it take to obtain a BIS product-certification licence?,"BIS states an average grant time of about one month under Option-2 and four months under Option-1, calculated from receipt and recording of a complete application. Actual time can vary due to queries, inspection, sample deposition and fee/payment issues.",,,,,,Product Certification FAQ Q15,https://www.bis.gov.in/product-certification/product-certification-faq/,,PC-FAQ-015,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:16,CANONICAL,0,,,,5,45.45
FAQ-00040,How long is a Scheme-I BIS licence valid?,"A Scheme-I licence may initially be granted for up to two years and is valid only for the varieties included in the licence scope. Renewal may extend the licence up to five years from its last validity date, subject to applicable requirements and fees.",,,,,,Product Certification FAQ Q18,https://www.bis.gov.in/product-certification/product-certification-faq/,,PC-FAQ-018,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:19,CANONICAL,0,,,,5,45.45
FAQ-00041,How long is an FMCS BIS licence valid?,"The FAQ states that BIS certification under Scheme-I may initially be granted for up to two years after payment of advance minimum marking fee. It covers only the varieties included in the licence and may be renewed up to five years from the last validity date, subject to requirements.",,,,,,FMCS FAQ Q19,https://www.bis.gov.in/fmcs/fmcs-faqs/,,FMCS-FAQ-019,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:48,CANONICAL,0,,,,5,45.45
FAQ-00042,How many Off-Site Centres can one A&H Centre establish?,A maximum of five Off-Site Centres may be set up within a 100 km radius by each parent A&H Centre having a fire-assay laboratory in districts not covered under mandatory hallmarking.,,,,,,A&H Centre FAQ,https://www.bis.gov.in/a-h-centre/,,HM-FAQ-039,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:87,CANONICAL,0,,,,5,45.45
FAQ-00043,How old can a test report be for Option-2?,"Product test reports should generally not be more than 90 days old, subject to the detailed Grant of Licence guidelines.",,,,,,Product Certification FAQ Q13,https://www.bis.gov.in/product-certification/product-certification-faq/,,PC-FAQ-013,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:14,CANONICAL,0,,,,5,45.45
FAQ-00044,Is a BIS licence mandatory for importing products into India?,"BIS certification is generally voluntary, but products notified by the Government under QCOs may be imported into India only when the required Standard Mark/certification conditions are satisfied.",,,,,,FMCS FAQ Q2,https://www.bis.gov.in/fmcs/fmcs-faqs/,,FMCS-FAQ-002,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:31,CANONICAL,0,,,,5,45.45
FAQ-00045,Is BIS certification compulsory for my product?,"BIS certification is compulsory for products brought under compulsory certification by the Central Government under the BIS Act, 2016 or another applicable Act. A product appearing in BIS's compulsory-certification list requires BIS certification as applicable.",,,,,,Product Certification FAQ Q3,https://www.bis.gov.in/product-certification/product-certification-faq/,,PC-FAQ-003,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:4,CANONICAL,0,,,,5,45.45
FAQ-00046,"Is hallmarking covered by the BIS Act, 2016?","Yes. Hallmarking is covered under the BIS Act, 2016.",,,,,,BIS Act and Regulation FAQ Q1,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/,,HM-FAQ-048,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:96,CANONICAL,0,,,,5,45.45
FAQ-00047,Is nomination of an Authorized Indian Representative mandatory?,Yes. A foreign applicant must nominate an Indian-resident Authorized Indian Representative (AIR) when applying.,,,,,,FMCS FAQ Q5,https://www.bis.gov.in/fmcs/fmcs-faqs/,,FMCS-FAQ-005,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:34,CANONICAL,0,,,,5,45.45
FAQ-00048,Must both articles in a pair be hallmarked?,Yes. Each article in a pair must have its own hallmark and a different HUID.,,,,,,Hallmarking General FAQ Q19,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/,,HM-FAQ-021,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:69,CANONICAL,0,,,,5,45.45
FAQ-00049,Must detachable parts of jewellery be hallmarked?,Yes. All detachable parts should have separate hallmarking with different HUIDs.,,,,,,Hallmarking General FAQ Q19/Q20,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/,,HM-FAQ-022,1,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,F006:BIS_FAQs_Master:70,CANONICAL,0,,,,5,45.45
FAQ-00050,Q 1 What is a licence?,Licence means a licence granted under Section 13 of BIS Act 2016 to use a specified Standard Mark in relation to any goods or article which conforms to a standard.,,,,,,,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,,FAQ-001,1,F036,bis_product_certification_faq (1).csv,,F036:-:2,CANONICAL,0,,,,4,36.36
FAQ-00051,Q.10 Can I submit one application for different products and Indian Standards(ISS) being manufactured at the same factory location?,"No, separate application for each product and ISS is required to be submitted even for same factory location.",,,,,,,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,,FAQ-010,1,F036,bis_product_certification_faq (1).csv,,F036:-:11,CANONICAL,0,,,,4,36.36
FAQ-00052,Q.11 Can I submit one application for same product being manufactured at different factory locations?,"No, separate application for each factory location is required to be submitted, even if the product and ISS is same.",,,,,,,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,,FAQ-011,1,F036,bis_product_certification_faq (1).csv,,F036:-:12,CANONICAL,0,,,,4,36.36
FAQ-00053,Q 12: Which are the laboratories of which test report will be acceptable to BIS for the purpose of grant of licence? Or Where can I get my products tested in order to get a licence under optionv- 2?,"The test reports which are issued by only BIS or BIS recognized or empanelled laboratory for the product are acceptable for grant of a licence under option-2. To know details of laboratory for testing of a particular product, please visithttp://164.100.105.198:8096/bis_access/iswise_v2.html",,,,,,,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,,FAQ-012,1,F036,bis_product_certification_faq (1).csv,,F036:-:13,CANONICAL,0,,,,4,36.36
FAQ-00054,"Q 13. Up to how much time, the test reports will remain valid for the purpose of grant of licence under option – 2?",The test reports of the product shall not generally be more than 90 days old. For complete details please visit www.bis.gov.in>>Conformity assessment >> Product Certification >> Certification process >>Guideline for Grant of Licence.,,,,,,,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,,FAQ-013,1,F036,bis_product_certification_faq (1).csv,,F036:-:14,CANONICAL,0,,,,4,36.36
FAQ-00055,Q 14. What is the fee applicable for Certification licence for a product?,"The application is required to be submitted with an application fee of Rs. 1000. An inspection fee of Rs. 7,000 per man day is required to be paid before preliminary inspection visit by BIS. After evaluation and decision to grant the licence is taken by BIS, the applicant is required to deposit annual licence fee of Rs. 1000 plus the minimum marking fee specified for the product. The marking fee for each product is specified in Annexure I of Scheme I of BIS (Conformity Assessment) Regulations, 2018 as amended by BIS (Conformity Assessment) Amendment Regulations, 2020.",,,,,,,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,,FAQ-014,1,F036,bis_product_certification_faq (1).csv,,F036:-:15,CANONICAL,0,,,,4,36.36
FAQ-00056,Q 15. What is the timeline for grant of BIS product certification licence?,"Average time taken for grant of licence under option-2 is generally one month and under option-1 four months from the date of receipt of complete application and its recording. Itmay vary for reasons like delay in response to queries raised, if any; organizing inspection(s); sample deposition, and fee dues, etc.",,,,,,,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,,FAQ-015,1,F036,bis_product_certification_faq (1).csv,,F036:-:16,CANONICAL,0,,,,4,36.36
FAQ-00057,Q 16. What are the conditions of BIS licence to use or apply a Standard Mark?,"Conditions of BIS licence to use or apply a Standard Mark are as given in Regulation 6 of BIS (Conformity Assessment) Regulations, 2018",,,,,,,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,,FAQ-016,1,F036,bis_product_certification_faq (1).csv,,F036:-:17,CANONICAL,0,,,,4,36.36
FAQ-00058,Q 18. What is the validity of BIS product certification licence?,"BIS certification under Scheme-I may be granted initially upto two years which is valid only for the varieties mentioned in the licence. For extension of validity, application with requisite fee and documents under the existing licence is required to be submitted. Licence may be renewed up to five years from the last date of validity of licence.",,,,,,,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,,FAQ-018,1,F036,bis_product_certification_faq (1).csv,,F036:-:19,CANONICAL,0,,,,4,36.36
FAQ-00059,Q 19. How should one apply for the renewal of a licence?,"Renewal of licence is required to be requested through online portal “manakonline” and is available through dashboard of the licence holder. Renewal application with production details for the relevant period (to calculate the actual marking fee), and the relevant fee is required to be submitted through online for renewal as per the period of renewal opted.",,,,,,,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,,FAQ-019,1,F036,bis_product_certification_faq (1).csv,,F036:-:20,CANONICAL,0,,,,4,36.36
FAQ-00060,Q.2 I am a manufacturer of a product and interested in applying for BIS product certification licence. How should I apply for it when I am not aware of corresponding Indian Standard Number?,"You can search for the Indian Standard against a product at the URL:https://www.manakonline.in/MANAK/ApplicationLicenceRelatedrptIf you cannot find the relevant Indian Standard, send a query to concerned technical department of BIS athttps://www.bis.gov.in/php/BIS/biswebsite/standards/technical-departments/.",,,,,,,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,,FAQ-002,1,F036,bis_product_certification_faq (1).csv,,F036:-:3,CANONICAL,0,,,,4,36.36
FAQ-00061,Q 20. What is deferment of licence? When does it happen?,"The renewal of licence can be deferred as per provision of Regulation 8 of BIS (Conformity Assessment) Regulations, 2018, if the renewal application and fee is not received till the last date of validity of licence or if the licence is under suspension.",,,,,,,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,,FAQ-020,1,F036,bis_product_certification_faq (1).csv,,F036:-:21,CANONICAL,0,,,,4,36.36
FAQ-00062,Q 21. Does BIS carry any surveillance on my licence regularly?,"After grant of licence to a manufacturer, BIS carries out surprise factory surveillance inspections through visit to the factory by certification officers of BIS or by personnel of the Agents appointed by BIS as per Rule 33 of BIS Rules, 2018. During such visits, it is verified that the manufacturer continues to maintain the manufacturing infrastructure, process controls, quality control and testing capabilities and conformity of the product to the relevant standard(s). Testing of the product samples in factory is also witnessed during such visits.Sample of ISI marked product is also drawn from the factory for verifying conformity to relevant ISS through third party laboratory testing. BIS also carries out market surveillance through purchase of samples of ISI marked product for verifying conformity of the product to relevant ISS through third party laboratory testing.",,,,,,,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,,FAQ-021,1,F036,bis_product_certification_faq (1).csv,,F036:-:22,CANONICAL,0,,,,4,36.36
FAQ-00063,Q 22. What are the duties and responsibilities of the owner of a manufacturing unit holding BIS licence regarding factory surveillance?,BIS licence holder is required to extend co-operation to the certification officers of BIS or personnel of the agents appointed by BIS to carry out surveillance inspection. The licence holder shall also share relevant records and information sought . He would also facilitate testing in the factory and drawl of samples for independent testing in third party lab. The licence holder shall be required to deposit samples to the designated laboratory as per advice of the officer,,,,,,,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,,FAQ-022,1,F036,bis_product_certification_faq (1).csv,,F036:-:23,CANONICAL,0,,,,4,36.36
