attribute_id,entity_type,entity_id,entity_label,attribute_name,attribute_value,value_length,semantic_type,attribute_context,null_class,original_value,missing_reason,source_file_id,source_file,source_sheet,source_row,source_column,transformation_rule,merge_action,rule_source,source_url,review_flag
ATT-0000011,STANDARD,STD-01756,IS/IEC 62368 (Part 1),ministry,Ministry Of Electronics And Information Technology,50,NAME,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,3,notified_by,nname,UNION_COALESCE,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000012,STANDARD,STD-01756,IS/IEC 62368 (Part 1),mandatory_voluntary_original,MANDATORY,9,ENUM,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,3,mandatory_voluntary,nmand,UNION_COALESCE,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000013,STANDARD,STD-01756,IS/IEC 62368 (Part 1),source_scheme_record_ids,SCHII-0003,10,IDENTIFIER,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,4,scheme_record_id,verbatim,DROP_SURROGATE_KEEP_AS_SOURCE_ID,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000014,STANDARD,STD-01756,IS/IEC 62368 (Part 1),source_scheme_ids,scheme_ii,9,IDENTIFIER,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,4,scheme_id,verbatim,DROP_SURROGATE_KEEP_AS_SOURCE_ID,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000015,STANDARD,STD-01756,IS/IEC 62368 (Part 1),is_semantic_key,STD-IEC-62368-P1,16,IS_REFERENCE,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,4,canonical_is_number,nis,KEY_IDENTITY,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000016,STANDARD,STD-01756,IS/IEC 62368 (Part 1),is_semantic_key,STD-IEC-62368-P1,16,IS_REFERENCE,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,4,display_is_number,nis,UNION_COALESCE,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000017,STANDARD,STD-01756,IS/IEC 62368 (Part 1),ministry,Ministry Of Electronics And Information Technology,50,NAME,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,4,notified_by,nname,UNION_COALESCE,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000018,STANDARD,STD-01756,IS/IEC 62368 (Part 1),mandatory_voluntary_original,MANDATORY,9,ENUM,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,4,mandatory_voluntary,nmand,UNION_COALESCE,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000019,STANDARD,STD-01756,IS/IEC 62368 (Part 1),source_scheme_record_ids,SCHII-0004,10,IDENTIFIER,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,5,scheme_record_id,verbatim,DROP_SURROGATE_KEEP_AS_SOURCE_ID,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000020,STANDARD,STD-01756,IS/IEC 62368 (Part 1),source_scheme_ids,scheme_ii,9,IDENTIFIER,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,5,scheme_id,verbatim,DROP_SURROGATE_KEEP_AS_SOURCE_ID,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000021,STANDARD,STD-01756,IS/IEC 62368 (Part 1),is_semantic_key,STD-IEC-62368-P1,16,IS_REFERENCE,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,5,canonical_is_number,nis,KEY_IDENTITY,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000022,STANDARD,STD-01756,IS/IEC 62368 (Part 1),is_semantic_key,STD-IEC-62368-P1,16,IS_REFERENCE,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,5,display_is_number,nis,UNION_COALESCE,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000023,STANDARD,STD-01756,IS/IEC 62368 (Part 1),ministry,Ministry Of Electronics And Information Technology,50,NAME,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,5,notified_by,nname,UNION_COALESCE,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000024,STANDARD,STD-01756,IS/IEC 62368 (Part 1),mandatory_voluntary_original,MANDATORY,9,ENUM,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,5,mandatory_voluntary,nmand,UNION_COALESCE,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000025,STANDARD,STD-01091,IS 302 (Part 2),source_scheme_record_ids,SCHII-0005,10,IDENTIFIER,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,6,scheme_record_id,verbatim,DROP_SURROGATE_KEEP_AS_SOURCE_ID,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000026,STANDARD,STD-01091,IS 302 (Part 2),source_scheme_ids,scheme_ii,9,IDENTIFIER,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,6,scheme_id,verbatim,DROP_SURROGATE_KEEP_AS_SOURCE_ID,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000027,STANDARD,STD-01091,IS 302 (Part 2),is_semantic_key,STD-302-P2,10,IS_REFERENCE,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,6,canonical_is_number,nis,KEY_IDENTITY,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000028,STANDARD,STD-01091,IS 302 (Part 2),is_semantic_key,STD-302-P2,10,IS_REFERENCE,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,6,display_is_number,nis,UNION_COALESCE,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000029,STANDARD,STD-01091,IS 302 (Part 2),ministry,Ministry Of Electronics And Information Technology,50,NAME,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,6,notified_by,nname,UNION_COALESCE,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000030,STANDARD,STD-01091,IS 302 (Part 2),mandatory_voluntary_original,MANDATORY,9,ENUM,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,6,mandatory_voluntary,nmand,UNION_COALESCE,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000031,STANDARD,STD-01756,IS/IEC 62368 (Part 1),source_scheme_record_ids,SCHII-0006,10,IDENTIFIER,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,7,scheme_record_id,verbatim,DROP_SURROGATE_KEEP_AS_SOURCE_ID,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000032,STANDARD,STD-01756,IS/IEC 62368 (Part 1),source_scheme_ids,scheme_ii,9,IDENTIFIER,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,7,scheme_id,verbatim,DROP_SURROGATE_KEEP_AS_SOURCE_ID,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000033,STANDARD,STD-01756,IS/IEC 62368 (Part 1),is_semantic_key,STD-IEC-62368-P1,16,IS_REFERENCE,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,7,canonical_is_number,nis,KEY_IDENTITY,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000034,STANDARD,STD-01756,IS/IEC 62368 (Part 1),is_semantic_key,STD-IEC-62368-P1,16,IS_REFERENCE,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,7,display_is_number,nis,UNION_COALESCE,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000035,STANDARD,STD-01756,IS/IEC 62368 (Part 1),ministry,Ministry Of Electronics And Information Technology,50,NAME,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,7,notified_by,nname,UNION_COALESCE,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000036,STANDARD,STD-01756,IS/IEC 62368 (Part 1),mandatory_voluntary_original,MANDATORY,9,ENUM,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,7,mandatory_voluntary,nmand,UNION_COALESCE,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000037,STANDARD,STD-01756,IS/IEC 62368 (Part 1),source_scheme_record_ids,SCHII-0007,10,IDENTIFIER,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,8,scheme_record_id,verbatim,DROP_SURROGATE_KEEP_AS_SOURCE_ID,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000038,STANDARD,STD-01756,IS/IEC 62368 (Part 1),source_scheme_ids,scheme_ii,9,IDENTIFIER,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,8,scheme_id,verbatim,DROP_SURROGATE_KEEP_AS_SOURCE_ID,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000039,STANDARD,STD-01756,IS/IEC 62368 (Part 1),is_semantic_key,STD-IEC-62368-P1,16,IS_REFERENCE,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,8,canonical_is_number,nis,KEY_IDENTITY,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000040,STANDARD,STD-01756,IS/IEC 62368 (Part 1),is_semantic_key,STD-IEC-62368-P1,16,IS_REFERENCE,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,8,display_is_number,nis,UNION_COALESCE,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000041,STANDARD,STD-01756,IS/IEC 62368 (Part 1),ministry,Ministry Of Electronics And Information Technology,50,NAME,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,8,notified_by,nname,UNION_COALESCE,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000042,STANDARD,STD-01756,IS/IEC 62368 (Part 1),mandatory_voluntary_original,MANDATORY,9,ENUM,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,8,mandatory_voluntary,nmand,UNION_COALESCE,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000043,STANDARD,STD-01756,IS/IEC 62368 (Part 1),source_scheme_record_ids,SCHII-0008,10,IDENTIFIER,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,9,scheme_record_id,verbatim,DROP_SURROGATE_KEEP_AS_SOURCE_ID,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000044,STANDARD,STD-01756,IS/IEC 62368 (Part 1),source_scheme_ids,scheme_ii,9,IDENTIFIER,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,9,scheme_id,verbatim,DROP_SURROGATE_KEEP_AS_SOURCE_ID,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000045,STANDARD,STD-01756,IS/IEC 62368 (Part 1),is_semantic_key,STD-IEC-62368-P1,16,IS_REFERENCE,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,9,canonical_is_number,nis,KEY_IDENTITY,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000046,STANDARD,STD-01756,IS/IEC 62368 (Part 1),is_semantic_key,STD-IEC-62368-P1,16,IS_REFERENCE,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,9,display_is_number,nis,UNION_COALESCE,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000047,STANDARD,STD-01756,IS/IEC 62368 (Part 1),ministry,Ministry Of Electronics And Information Technology,50,NAME,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,9,notified_by,nname,UNION_COALESCE,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000048,STANDARD,STD-01756,IS/IEC 62368 (Part 1),mandatory_voluntary_original,MANDATORY,9,ENUM,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,9,mandatory_voluntary,nmand,UNION_COALESCE,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000049,STANDARD,STD-01756,IS/IEC 62368 (Part 1),source_scheme_record_ids,SCHII-0009,10,IDENTIFIER,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,10,scheme_record_id,verbatim,DROP_SURROGATE_KEEP_AS_SOURCE_ID,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000050,STANDARD,STD-01756,IS/IEC 62368 (Part 1),source_scheme_ids,scheme_ii,9,IDENTIFIER,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,10,scheme_id,verbatim,DROP_SURROGATE_KEEP_AS_SOURCE_ID,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000051,STANDARD,STD-01756,IS/IEC 62368 (Part 1),is_semantic_key,STD-IEC-62368-P1,16,IS_REFERENCE,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,10,canonical_is_number,nis,KEY_IDENTITY,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000052,STANDARD,STD-01756,IS/IEC 62368 (Part 1),is_semantic_key,STD-IEC-62368-P1,16,IS_REFERENCE,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,10,display_is_number,nis,UNION_COALESCE,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000053,STANDARD,STD-01756,IS/IEC 62368 (Part 1),ministry,Ministry Of Electronics And Information Technology,50,NAME,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,10,notified_by,nname,UNION_COALESCE,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000054,STANDARD,STD-01756,IS/IEC 62368 (Part 1),mandatory_voluntary_original,MANDATORY,9,ENUM,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,10,mandatory_voluntary,nmand,UNION_COALESCE,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000055,STANDARD,STD-01756,IS/IEC 62368 (Part 1),source_scheme_record_ids,SCHII-0010,10,IDENTIFIER,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,11,scheme_record_id,verbatim,DROP_SURROGATE_KEEP_AS_SOURCE_ID,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000056,STANDARD,STD-01756,IS/IEC 62368 (Part 1),source_scheme_ids,scheme_ii,9,IDENTIFIER,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,11,scheme_id,verbatim,DROP_SURROGATE_KEEP_AS_SOURCE_ID,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000057,STANDARD,STD-01756,IS/IEC 62368 (Part 1),is_semantic_key,STD-IEC-62368-P1,16,IS_REFERENCE,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,11,canonical_is_number,nis,KEY_IDENTITY,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000058,STANDARD,STD-01756,IS/IEC 62368 (Part 1),is_semantic_key,STD-IEC-62368-P1,16,IS_REFERENCE,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,11,display_is_number,nis,UNION_COALESCE,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000059,STANDARD,STD-01756,IS/IEC 62368 (Part 1),ministry,Ministry Of Electronics And Information Technology,50,NAME,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,11,notified_by,nname,UNION_COALESCE,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000060,STANDARD,STD-01756,IS/IEC 62368 (Part 1),mandatory_voluntary_original,MANDATORY,9,ENUM,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,11,mandatory_voluntary,nmand,UNION_COALESCE,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000061,STANDARD,STD-01756,IS/IEC 62368 (Part 1),source_scheme_record_ids,SCHII-0011,10,IDENTIFIER,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,12,scheme_record_id,verbatim,DROP_SURROGATE_KEEP_AS_SOURCE_ID,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000062,STANDARD,STD-01756,IS/IEC 62368 (Part 1),source_scheme_ids,scheme_ii,9,IDENTIFIER,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,12,scheme_id,verbatim,DROP_SURROGATE_KEEP_AS_SOURCE_ID,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000063,STANDARD,STD-01756,IS/IEC 62368 (Part 1),is_semantic_key,STD-IEC-62368-P1,16,IS_REFERENCE,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,12,canonical_is_number,nis,KEY_IDENTITY,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000064,STANDARD,STD-01756,IS/IEC 62368 (Part 1),is_semantic_key,STD-IEC-62368-P1,16,IS_REFERENCE,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,12,display_is_number,nis,UNION_COALESCE,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000065,STANDARD,STD-01756,IS/IEC 62368 (Part 1),ministry,Ministry Of Electronics And Information Technology,50,NAME,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,12,notified_by,nname,UNION_COALESCE,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000066,STANDARD,STD-01756,IS/IEC 62368 (Part 1),mandatory_voluntary_original,MANDATORY,9,ENUM,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,12,mandatory_voluntary,nmand,UNION_COALESCE,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000067,STANDARD,STD-01756,IS/IEC 62368 (Part 1),source_scheme_record_ids,SCHII-0012,10,IDENTIFIER,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,13,scheme_record_id,verbatim,DROP_SURROGATE_KEEP_AS_SOURCE_ID,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000068,STANDARD,STD-01756,IS/IEC 62368 (Part 1),source_scheme_ids,scheme_ii,9,IDENTIFIER,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,13,scheme_id,verbatim,DROP_SURROGATE_KEEP_AS_SOURCE_ID,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000069,STANDARD,STD-01756,IS/IEC 62368 (Part 1),is_semantic_key,STD-IEC-62368-P1,16,IS_REFERENCE,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,13,canonical_is_number,nis,KEY_IDENTITY,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
ATT-0000070,STANDARD,STD-01756,IS/IEC 62368 (Part 1),is_semantic_key,STD-IEC-62368-P1,16,IS_REFERENCE,SCHEME_II_CRS_STANDARD_LISTING,POPULATED,,,F001,05_scheme_ii.csv,,13,display_is_number,nis,UNION_COALESCE,CMAP,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,
