canonical_entity,canonical_entity_id,source_sheet,source_row,canonical_is_number,qco_product_text,qco_number,ministry,notification_number,mandatory_voluntary,effective_date,qco_amendments,qco_exemptions,qco_scope,source_gazette_url
QCO,QCO-00009,BIS_QCO_Master_Scheme_1,12,STD-1489-P2,Portland Pozzolana Cement (Calcined clay based),"Cement (Quality Control) Order, 2003",Ministry of Commerce and Industry (DPIIT),S.O. 191(E),MANDATORY,2003-02-17,Multiple quality control amendments over subsequent years.,Standard R&D and export exemptions as per BIS regulations.,Any variety of cement manufactured or sold in India.,Gazette of India S.O. No. 191(E) Dt. 17 Feb 2003
QCO,QCO-00009,BIS_QCO_Master_Scheme_1,13,STD-269,Ordinary Portland Cement,"Cement (Quality Control) Order, 2003",Ministry of Commerce and Industry (DPIIT),S.O. 191(E),MANDATORY,2003-02-17,Multiple quality control amendments over subsequent years.,Standard R&D and export exemptions as per BIS regulations.,Any variety of cement manufactured or sold in India.,Gazette of India S.O. No. 191(E) Dt. 17 Feb 2003
QCO,QCO-00009,BIS_QCO_Master_Scheme_1,14,STD-455,Portland Slag Cement,"Cement (Quality Control) Order, 2003",Ministry of Commerce and Industry (DPIIT),S.O. 191(E),MANDATORY,2003-02-17,Multiple quality control amendments over subsequent years.,Standard R&D and export exemptions as per BIS regulations.,Any variety of cement manufactured or sold in India.,Gazette of India S.O. No. 191(E) Dt. 17 Feb 2003
QCO,QCO-00009,BIS_QCO_Master_Scheme_1,15,STD-8041,Rapid hardening Portland cement,"Cement (Quality Control) Order, 2003",Ministry of Commerce and Industry (DPIIT),S.O. 191(E),MANDATORY,2003-02-17,Multiple quality control amendments over subsequent years.,Standard R&D and export exemptions as per BIS regulations.,Any variety of cement manufactured or sold in India.,Gazette of India S.O. No. 191(E) Dt. 17 Feb 2003
QCO,QCO-00009,BIS_QCO_Master_Scheme_1,16,STD-8042,White Portland Cement,"Cement (Quality Control) Order, 2003",Ministry of Commerce and Industry (DPIIT),S.O. 191(E),MANDATORY,2003-02-17,Multiple quality control amendments over subsequent years.,Standard R&D and export exemptions as per BIS regulations.,Any variety of cement manufactured or sold in India.,Gazette of India S.O. No. 191(E) Dt. 17 Feb 2003
QCO,QCO-00009,BIS_QCO_Master_Scheme_1,17,STD-8043,Hydrophobic Portland Cement,"Cement (Quality Control) Order, 2003",Ministry of Commerce and Industry (DPIIT),S.O. 191(E),MANDATORY,2003-02-17,Multiple quality control amendments over subsequent years.,Standard R&D and export exemptions as per BIS regulations.,Any variety of cement manufactured or sold in India.,Gazette of India S.O. No. 191(E) Dt. 17 Feb 2003
QCO,QCO-00009,BIS_QCO_Master_Scheme_1,18,STD-16415,Composite Cement,"Cement (Quality Control) Order, 2003",Ministry of Commerce and Industry (DPIIT),S.O. 191(E),MANDATORY,2003-02-17,Multiple quality control amendments over subsequent years.,Standard R&D and export exemptions as per BIS regulations.,Any variety of cement manufactured or sold in India.,Gazette of India S.O. No. 191(E) Dt. 17 Feb 2003
QCO,QCO-00091,BIS_QCO_Master_Scheme_1,19,STD-9873-P1,Safety of Toys: Mechanical and Physical Properties,"Toys (Quality Control) Order, 2020",Ministry of Commerce and Industry (DPIIT),S.O. 853(E),MANDATORY,2020-02-25,Multiple subsequent amendments up to 2024.,—,"Safety requirements for non-electric and electric toys, covering mechanical, physical, flammability, and chemical migration properties.",Gazette of India (S.O. 853(E) dated 25th February 2000)
QCO,QCO-00091,BIS_QCO_Master_Scheme_1,20,STD-9873-P2,Safety of Toys: Flammability,"Toys (Quality Control) Order, 2020",Ministry of Commerce and Industry (DPIIT),S.O. 853(E),MANDATORY,2020-02-25,Multiple subsequent amendments up to 2024.,—,"Safety requirements for non-electric and electric toys, covering mechanical, physical, flammability, and chemical migration properties.",Gazette of India (S.O. 853(E) dated 25th February 2000)
QCO,QCO-00091,BIS_QCO_Master_Scheme_1,21,STD-9873-P3,Safety of Toys: Migration of Certain Elements,"Toys (Quality Control) Order, 2020",Ministry of Commerce and Industry (DPIIT),S.O. 853(E),MANDATORY,2020-02-25,Multiple subsequent amendments up to 2024.,—,"Safety requirements for non-electric and electric toys, covering mechanical, physical, flammability, and chemical migration properties.",Gazette of India (S.O. 853(E) dated 25th February 2000)
QCO,QCO-00091,BIS_QCO_Master_Scheme_1,22,STD-9873-P4,Safety of Toys: Swings | Slides and Similar Activity Toys,"Toys (Quality Control) Order, 2020",Ministry of Commerce and Industry (DPIIT),S.O. 853(E),MANDATORY,2020-02-25,Multiple subsequent amendments up to 2024.,—,"Safety requirements for non-electric and electric toys, covering mechanical, physical, flammability, and chemical migration properties.",Gazette of India (S.O. 853(E) dated 25th February 2000)
QCO,QCO-00091,BIS_QCO_Master_Scheme_1,23,STD-15644,Safety of Electric Toys,"Toys (Quality Control) Order, 2020",Ministry of Commerce and Industry (DPIIT),S.O. 853(E),MANDATORY,2020-02-25,Multiple subsequent amendments up to 2024.,—,"Safety requirements for non-electric and electric toys, covering mechanical, physical, flammability, and chemical migration properties.",Gazette of India (S.O. 853(E) dated 25th February 2000)
QCO,QCO-00030,BIS_QCO_Master_Scheme_1,24,STD-2835,Flat Transparent Sheet Glass,"Flat Transparent Sheet Glass (Quality Control) Order, 2020 / 2021",Ministry of Commerce and Industry (DPIIT),S.O. 738(E) (superseded by S.O. 4144(E)),MANDATORY,2020-02-14,—,—,Flat transparent sheet glass used for general and architectural glazing.,Gazette of India (S.O. 738(E) dated 14th February 2020)
QCO,QCO-00079,BIS_QCO_Master_Scheme_1,25,STD-2553-P1,Safety Glass: Architectural | Building and General Uses,"Safety Glass (Quality Control) Order, 2020",Ministry of Commerce and Industry (DPIIT),S.O. 1045(E),MANDATORY,2020-03-12,Amended periodically through 2023.,—,"Toughened and laminated safety glass for architectural, building, general, and road transport vehicles.",Gazette of India (S.O. 1045(E) dated 12th March 2020)
QCO,QCO-00079,BIS_QCO_Master_Scheme_1,26,STD-2553-P2,Safety Glass: For Road Transport,"Safety Glass (Quality Control) Order, 2020",Ministry of Commerce and Industry (DPIIT),S.O. 1045(E),MANDATORY,2020-03-12,Amended periodically through 2023.,—,"Toughened and laminated safety glass for architectural, building, general, and road transport vehicles.",Gazette of India (S.O. 1045(E) dated 12th March 2020)
QCO,QCO-00060,BIS_QCO_Master_Scheme_1,27,STD-9573-P1,Rubber Hose for Liquefied Petroleum Gas (LPG): Industrial Application,"Rubber Hose for Liquefied Petroleum Gas (LPG) (Quality Control) Order, 2020",Ministry of Petroleum and Natural Gas/DPIIT,S.O. 478(E),MANDATORY,2020-01-28,—,—,"Rubber hoses designed for industrial, domestic, and commercial LPG applications.",Gazette of India (S.O. 478(E) dated 28th January 2020)
QCO,QCO-00060,BIS_QCO_Master_Scheme_1,28,STD-9573-P2,Rubber Hose for Liquefied Petroleum Gas (LPG): Domestic and Commercial Application,"Rubber Hose for Liquefied Petroleum Gas (LPG) (Quality Control) Order, 2020",Ministry of Petroleum and Natural Gas/DPIIT,S.O. 478(E),MANDATORY,2020-01-28,—,—,"Rubber hoses designed for industrial, domestic, and commercial LPG applications.",Gazette of India (S.O. 478(E) dated 28th January 2020)
QCO,QCO-00006,BIS_QCO_Master_Scheme_1,29,STD-15392,Aluminium and Aluminium Alloy Bare Foil for Food Packaging,"Aluminium Foil (Quality Control) Order, 2020",Ministry of Commerce and Industry (DPIIT),S.O. 687(E),MANDATORY,2020-02-13,—,—,Bare aluminium and aluminium alloy foils intended for food packaging.,Gazette of India (S.O. 687 (E) dated 13/02/2020 )
QCO,QCO-00087,BIS_QCO_Master_Scheme_1,30,STD-17875,Stainless Steel Seamless Pipes and Tubes,Steel and Steel Products (Quality Control) Order (Stainless Steel Pipes & Tubes),Ministry of Steel/DPIIT,—,MANDATORY,2025-08-01,—,—,Seamless and welded stainless steel pipes and tubes for engineering and industrial applications.,Official Gazette of India (No URL provided in source tab).
QCO,QCO-00087,BIS_QCO_Master_Scheme_1,31,STD-17876,Stainless Steel Welded Pipes and Tubes,Steel and Steel Products (Quality Control) Order (Stainless Steel Pipes & Tubes),Ministry of Steel/DPIIT,—,MANDATORY,2025-08-01,—,—,Seamless and welded stainless steel pipes and tubes for engineering and industrial applications.,Official Gazette of India (No URL provided in source tab).
QCO,QCO-00024,BIS_QCO_Master_Scheme_1,32,STD-2083,Flashlight: Specification,Flashlights Quality Control Order,Ministry of Commerce and Industry (DPIIT),—,MANDATORY,NONE,—,—,"Handheld, battery-operated, rechargeable, and LED flashlights/torches for general illumination.",Official Gazette of India (No URL provided in source tab).
QCO,QCO-00081,BIS_QCO_Master_Scheme_1,33,STD-302-P1,"Safety of Household, Commercial and Similar Electrical Appliances: General Requirements (aligned with IEC 60335-1:2020)","Safety of Household, Commercial and Similar Electrical Appliances (Quality Control) Order, 2026",Ministry of Commerce and Industry (DPIIT),S.O. 1739(E) (supersedes QCO 2025),MANDATORY,NONE,—,—,"General safety requirements for electrical appliances up to 250V (single-phase) and 480V (other types, including battery-operated).",Gazette of India (No URL provided in source tab).
QCO,QCO-00040,BIS_QCO_Master_Scheme_1,34,STD-15844-P1,Sports Footwear for General Purpose,"Footwear Quality Control Orders (Sports Footwear, Tactical, Special Purpose & Safety Footwear)",Ministry of Commerce and Industry (DPIIT),S.O. 3857(E) (for PPE Footwear); corresponding orders for Sports and Leather Footwear,MANDATORY,NONE,—,—,"General purpose sports shoes, professional sports footwear, anti-riot shoes, tactical boots, service shoes, and personal protective footwear.",Gazette of India (S.O. No. 3857(E) dated 27/10/2020)
QCO,QCO-00040,BIS_QCO_Master_Scheme_1,35,STD-15844-P2,Sports Footwear for Performance Sports Footwear,"Footwear Quality Control Orders (Sports Footwear, Tactical, Special Purpose & Safety Footwear)",Ministry of Commerce and Industry (DPIIT),S.O. 3857(E) (for PPE Footwear); corresponding orders for Sports and Leather Footwear,MANDATORY,NONE,—,—,"General purpose sports shoes, professional sports footwear, anti-riot shoes, tactical boots, service shoes, and personal protective footwear.",Gazette of India (S.O. No. 3857(E) dated 27/10/2020)
QCO,QCO-00040,BIS_QCO_Master_Scheme_1,36,STD-15844-P3,Sports Footwear for Professional Sports Footwear,"Footwear Quality Control Orders (Sports Footwear, Tactical, Special Purpose & Safety Footwear)",Ministry of Commerce and Industry (DPIIT),S.O. 3857(E) (for PPE Footwear); corresponding orders for Sports and Leather Footwear,MANDATORY,NONE,—,—,"General purpose sports shoes, professional sports footwear, anti-riot shoes, tactical boots, service shoes, and personal protective footwear.",Gazette of India (S.O. No. 3857(E) dated 27/10/2020)
QCO,QCO-00040,BIS_QCO_Master_Scheme_1,37,STD-17012,High Ankle Tactical Boots with PU-Rubber Sole,"Footwear Quality Control Orders (Sports Footwear, Tactical, Special Purpose & Safety Footwear)",Ministry of Commerce and Industry (DPIIT),S.O. 3857(E) (for PPE Footwear); corresponding orders for Sports and Leather Footwear,MANDATORY,NONE,—,—,"General purpose sports shoes, professional sports footwear, anti-riot shoes, tactical boots, service shoes, and personal protective footwear.",Gazette of India (S.O. No. 3857(E) dated 27/10/2020)
QCO,QCO-00040,BIS_QCO_Master_Scheme_1,38,STD-17037,Antiriot Shoes,"Footwear Quality Control Orders (Sports Footwear, Tactical, Special Purpose & Safety Footwear)",Ministry of Commerce and Industry (DPIIT),S.O. 3857(E) (for PPE Footwear); corresponding orders for Sports and Leather Footwear,MANDATORY,NONE,—,—,"General purpose sports shoes, professional sports footwear, anti-riot shoes, tactical boots, service shoes, and personal protective footwear.",Gazette of India (S.O. No. 3857(E) dated 27/10/2020)
QCO,QCO-00040,BIS_QCO_Master_Scheme_1,39,STD-17043-P1,Shoes for Services,"Footwear Quality Control Orders (Sports Footwear, Tactical, Special Purpose & Safety Footwear)",Ministry of Commerce and Industry (DPIIT),S.O. 3857(E) (for PPE Footwear); corresponding orders for Sports and Leather Footwear,MANDATORY,NONE,—,—,"General purpose sports shoes, professional sports footwear, anti-riot shoes, tactical boots, service shoes, and personal protective footwear.",Gazette of India (S.O. No. 3857(E) dated 27/10/2020)
QCO,QCO-00040,BIS_QCO_Master_Scheme_1,40,STD-17043-P2,Shoes for General Purpose,"Footwear Quality Control Orders (Sports Footwear, Tactical, Special Purpose & Safety Footwear)",Ministry of Commerce and Industry (DPIIT),S.O. 3857(E) (for PPE Footwear); corresponding orders for Sports and Leather Footwear,MANDATORY,NONE,—,—,"General purpose sports shoes, professional sports footwear, anti-riot shoes, tactical boots, service shoes, and personal protective footwear.",Gazette of India (S.O. No. 3857(E) dated 27/10/2020)
QCO,QCO-00040,BIS_QCO_Master_Scheme_1,41,STD-15298-P2,Personal Protective Equipment: Safety Footwear,"Footwear Quality Control Orders (Sports Footwear, Tactical, Special Purpose & Safety Footwear)",Ministry of Commerce and Industry (DPIIT),S.O. 3857(E) (for PPE Footwear); corresponding orders for Sports and Leather Footwear,MANDATORY,NONE,—,—,"General purpose sports shoes, professional sports footwear, anti-riot shoes, tactical boots, service shoes, and personal protective footwear.",Gazette of India (S.O. No. 3857(E) dated 27/10/2020)
