canonical_entity,canonical_entity_id,source_sheet,source_row,source_manual_ids,canonical_is_number,product_name,manual_title,version,revision_date,related_scheme_text,document_scope,raw_material_requirements,process_requirements,testing_requirements,sampling_guidelines,test_equipment,marking_requirements,sit_sti,grouping_guidelines,licensing_requirements,inspection_requirements,document_url,source_url
PRODUCT_MANUAL,PM-00004,BIS_Product_Manuals,12,PM/IS1489-P2,STD-1489-P2,Portland Pozzolana Cement — Calcined Clay Based,Product Manual for Portland Pozzolana Cement — Calcined Clay Based,Latest indexed PM,—,Scheme-I,PPC using calcined clay,Calcined clay and cement constituents as per IS,Controlled blending/manufacture,"Chemical, physical and strength requirements",See manual,Annex,Standard Mark,SIT annex,See manual,BIS licence,Factory inspection/testing,BIS Product Manual,BIS Product Manuals
PRODUCT_MANUAL,PM-00028,BIS_Product_Manuals,13,PM/IS269/3/Oct23,STD-269,Ordinary Portland Cement,Product Manual for Ordinary Portland Cement According to IS 269:2015,3,2023-10,Scheme-I,OPC Grades 33/43/53/43S/53S,"Performance improver, if added, as per Cl. 5.1.1/Table 1",Cement manufacture and quality-control process,"Insoluble residue, LOI, fineness, setting time; all IS requirements",8 kg physical + 1 kg chemical,Annex-B,Standard Mark on licensed grades,Annex-C,Each grade tested to cover that grade,Licence by grade/product scope,Routine/factory surveillance; records,BIS PM,BIS Product Manuals
PRODUCT_MANUAL,PM-00031,BIS_Product_Manuals,14,PM/IS455/3/Oct23,STD-455,Portland Slag Cement,Product Manual for Portland Slag Cement According to IS 455:2015,3,2023-10,Scheme-I,Portland Slag Cement,Granulated slag–IS 12089; clinker–IS 16353; OPC–IS 269,Controlled cement manufacture/blending,"Insoluble residue, LOI, fineness, setting time and IS requirements",8 kg physical + 1 kg chemical,Annex-A,Standard Mark,Annex-B,See manual,Licence for Portland Slag Cement,Factory inspection/testing,BIS PM,BIS Product Manuals
PRODUCT_MANUAL,PM-00032,BIS_Product_Manuals,15,PM/IS8041/1/Jan19,STD-8041,Rapid Hardening Portland Cement,Product Manual for Rapid Hardening Portland Cement According to IS 8041:1990,1,2019-01,Scheme-I,Rapid Hardening Portland Cement,Not applicable,Cement manufacturing/process controls,"Insoluble residue, LOI, fineness, setting time; transverse strength optional by agreement",8 kg physical + 1 kg chemical,Annex-A,Standard Mark,Annex-B,Not applicable,Licence for Rapid Hardening Portland Cement,Factory inspection/testing,BIS PM,BIS Product Manuals
PRODUCT_MANUAL,PM-00033,BIS_Product_Manuals,16,PM/IS8042/2/Oct23,STD-8042,White Portland Cement,Product Manual for White Portland Cement According to IS 8042:2015,2,2023-10,Scheme-I,White Portland Cement,"Performance improver, if added, Cl. 4.1.1",Cement manufacture/process control,"Insoluble residue, LOI, fineness, setting time, degree of whiteness",8 kg physical + 1 kg chemical,Annex-B,Standard Mark,Annex-C,Annex-A,Licence for White Portland Cement,Factory inspection/testing,BIS PM,BIS Product Manuals
PRODUCT_MANUAL,PM-00034,BIS_Product_Manuals,17,PM/IS8043,STD-8043,Hydrophobic Portland Cement,Product Manual for Hydrophobic Portland Cement,Latest indexed PM,—,Scheme-I,Hydrophobic Portland Cement,As specified in IS,Cement manufacturing and hydrophobic treatment,Chemical/physical requirements and IS performance tests,See manual,Annex,Standard Mark,SIT annex,See manual,BIS licence,Factory inspection/testing,BIS Product Manual,BIS Product Manuals
PRODUCT_MANUAL,PM-00011,BIS_Product_Manuals,18,PM/IS16415/2/Oct19,STD-16415,Composite Cement,Product Manual for Composite Cement According to IS 16415:2015,2,2019-10,Scheme-I,Composite Cement,Granulated slag–IS 12089; fly ash–IS 3812 Part 1; clinker–IS 16353; Portland cement–IS 269,Controlled blending of constituents,"Insoluble residue, LOI, fineness, setting time, magnesia, sulphide sulphur",8 kg physical + 1 kg chemical,Annex-A,Standard Mark,Annex-B,Not applicable,Licence for Composite Cement,Factory inspection/testing,BIS PM,BIS Product Manuals
PRODUCT_MANUAL,PM-00037,BIS_Product_Manuals,19,PM/9873/11,STD-9873-P1,Safety of Toys — Part 1,"Product Manual for Safety of Toys as per IS 9873 Parts 1,2,3,4,7,9 and IS 15644",11,2023-10,Scheme-I,"Toy mechanical/physical, flammability, migration and related safety requirements",All materials visually clean and free from infestation in available manual version; exact material controls depend on toy type,"Manufacturing controls, toy construction and safety requirements","Mechanical/physical, flammability, migration of elements, phthalates, electric-toy tests depending on applicable part",Toy/product-specific sample requirements,Annexes in manual,Standard Mark and applicable BIS marking,SIT annex,Toy-category/model grouping under manual,BIS licence under Toys QCO/Scheme-I,Factory inspection and routine/surveillance tests,BIS Toys PM,BIS Product Manuals
PRODUCT_MANUAL,PM-00038,BIS_Product_Manuals,20,PM/9873/11,STD-9873-P2,Safety of Toys — Flammability,Same combined Toys Product Manual,11,2023-10,Scheme-I,Flammability requirements for toys,Material-specific controls,Manufacturing controls to avoid prohibited/unsafe construction,Flammability tests according to Part 2,See combined manual,Annex,Standard Mark,SIT annex,See combined manual,BIS licence,Factory inspection/testing,BIS Toys PM,BIS Product Manuals
PRODUCT_MANUAL,PM-00039,BIS_Product_Manuals,21,PM/9873/11,STD-9873-P3,Safety of Toys — Migration of Certain Elements,Same combined Toys Product Manual,11,2023-10,Scheme-I,Migration of specified elements,Toy materials/coatings subject to chemical requirements,Manufacturing/material controls,Migration tests for specified elements,See manual,Annex,Standard Mark,SIT annex,See combined manual,BIS licence,Factory inspection/testing,BIS Toys PM,BIS Product Manuals
PRODUCT_MANUAL,PM-00040,BIS_Product_Manuals,22,PM/9873/11,STD-9873-P4,"Swings, Slides and Similar Activity Toys",Same combined Toys Product Manual,11,2023-10,Scheme-I,Activity toys for specified domestic/indoor/outdoor use,As applicable,Structural/construction controls,"Structural, stability, load and safety tests",See manual,Annex,Standard Mark,SIT annex,See combined manual,BIS licence,Factory inspection/testing,BIS Toys PM,BIS Product Manuals
PRODUCT_MANUAL,PM-00007,BIS_Product_Manuals,23,PM/9873/11,STD-15644,Safety of Electric Toys,Same combined Toys Product Manual,11,2023-10,Scheme-I,Electric toys,Electrical components/materials as per standard,Electrical construction and safety controls,Electrical safety/performance tests,See manual,Annex,Standard Mark,SIT annex,See combined manual,BIS licence,Factory inspection/testing,BIS Toys PM,BIS Product Manuals
PRODUCT_MANUAL,PM-00029,BIS_Product_Manuals,24,PM/2835/1/Aug21,STD-2835,Flat Transparent Sheet Glass,Product Manual for Specification for Flat Transparent Sheet Glass According to IS 2835:1987,1,2021-08,Scheme-I,Flat transparent sheet glass,No specific requirements,Manufacturing/processing according to IS 2835,IS 2835 conformity tests,None stated in manual,Annex,Standard Mark,SIT annex,See manual,BIS licence,Factory inspection/testing,BIS PM,BIS Product Manuals
PRODUCT_MANUAL,PM-00026,BIS_Product_Manuals,25,PM/2553-P1,STD-2553-P1,"Safety Glass — Architectural, Building and General Uses","Product Manual for Safety Glass for Architecture, Building and General Uses",Latest indexed PM,—,Scheme-I,Safety glass for architectural/building/general uses,See IS/manual,Processing/heat treatment and construction controls per IS,"Optical, dimensional, fragmentation/strength and other IS tests",See manual,Annex,Standard Mark,SIT annex,See manual,BIS licence,Factory inspection/testing,BIS Product Manual,BIS Product Manuals
PRODUCT_MANUAL,PM-00027,BIS_Product_Manuals,26,PM/2553-P2/5/Oct23,STD-2553-P2,Safety Glass for Road Transport,Product Manual for Safety Glass for Road Transport According to IS 2553 Part 2:2019,5,2023-10,Scheme-I,Safety glass for road transport,None stated in PM,Processing/manufacture per IS,Road-transport safety-glass tests; see Annex-D,Product sampling: None stated; sample size Annex-B,Annex-C,Standard Mark/IS marking,Annex-D,Annex-A,Licence with Annex-F scope,Factory inspection and surveillance,BIS PM,BIS Product Manuals
PRODUCT_MANUAL,PM-00035,BIS_Product_Manuals,27,PM/9573-P1,STD-9573-P1,Rubber Hose for LPG — Industrial Application,Product Manual for Rubber Hose for LPG Part 1 Industrial Application,Latest indexed PM,—,Scheme-I,Industrial LPG hose,Rubber/material requirements per IS 9573 Part 1,"Compounding, extrusion, reinforcement, curing and construction controls per IS","Pressure, dimensional, material, leakage/strength and applicable performance tests",See manual,Annex,Standard Mark,SIT/STI annex,See manual,BIS licence,Factory inspection/testing,BIS Product Manual,BIS Product Manuals
PRODUCT_MANUAL,PM-00036,BIS_Product_Manuals,28,PM/9573-P2,STD-9573-P2,Rubber Hose for LPG — Domestic/Commercial Application,Product Manual for Rubber Hose for LPG Part 2 Domestic/Commercial Application,Latest indexed PM,—,Scheme-I,Domestic/commercial LPG hose,Material requirements per IS,Rubber hose manufacturing/construction controls,"Dimensional, pressure, leakage, material and performance tests",See manual,Annex,Standard Mark,SIT annex,See manual,BIS licence,Factory inspection/testing,BIS Product Manual,BIS Product Manuals
PRODUCT_MANUAL,PM-00006,BIS_Product_Manuals,29,PM/15392,STD-15392,Aluminium and Aluminium Alloy Bare Foil for Food Packaging,Product Manual for Aluminium and Aluminium Alloy Bare Foil for Food Packaging,Latest indexed PM,—,Scheme-I,Aluminium foil intended for food packaging,Aluminium/alloy requirements per IS,"Rolling, finishing and packaging controls per IS","Chemical, dimensional, mechanical/surface and food-contact relevant tests as specified",See manual,Annex,Standard Mark,SIT annex,See manual,BIS licence,Factory inspection/testing,BIS manual listing,BIS Product Manuals
PRODUCT_MANUAL,PM-00022,BIS_Product_Manuals,30,PM/17875,STD-17875,Stainless Steel Seamless Pipes and Tubes for General Service,Product Manual for Stainless Steel Seamless Pipes and Tubes for General Services,Latest indexed PM,—,Scheme-I,Stainless-steel seamless pipes/tubes for general service,Steel chemistry/grades as specified in IS 17875,"Tube manufacturing, heat treatment, finishing and dimensional control","Chemical, mechanical, dimensional, hydrostatic/NDT and other IS tests",See manual,Annex,Standard Mark,SIT annex,See manual,BIS licence,Factory inspection/testing,BIS Product Manuals,BIS Product Manuals
PRODUCT_MANUAL,PM-00023,BIS_Product_Manuals,31,PM/17876,STD-17876,Stainless Steel Welded Pipes and Tubes for General Service,Product Manual for Stainless Steel Welded Pipes and Tubes for General Services,Latest indexed PM,—,Scheme-I,Stainless-steel welded pipes/tubes for general service,Steel chemistry/grades as specified,"Forming, welding, heat treatment/finishing as applicable","Chemical, mechanical, dimensional, weld integrity/NDT and IS tests",See manual,Annex,Standard Mark,SIT annex,See manual,BIS licence,Factory inspection/testing,BIS Product Manuals,BIS Product Manuals
PRODUCT_MANUAL,PM-00024,BIS_Product_Manuals,32,PM/2083,STD-2083,Flashlight,Product Manual for Flashlight — Specification,Latest indexed PM,—,Scheme-I,Flashlights conforming to IS 2083:2024,Components/materials meeting IS requirements,"Assembly, electrical/mechanical construction and workmanship","Electrical, mechanical, battery/illumination and safety tests as applicable",See manual,Annex,Standard Mark and required product information,SIT annex,See manual,BIS licence,Factory inspection/testing,BIS Product Manual,BIS Product Manuals
PRODUCT_MANUAL,PM-00030,BIS_Product_Manuals,33,PM/302-P1,STD-302-P1,Safety of Household and Similar Electrical Appliances — General Requirements,Product Manual for IS 302 Part 1:2024,Latest indexed PM,—,Scheme-I,Household/commercial/similar electrical appliances within QCO scope,Electrical components/materials per IS 302 Part 1 and applicable particular standard,"Electrical construction, insulation, enclosure, protection and workmanship","Electric shock, heating, leakage current, dielectric strength, abnormal operation, mechanical, earthing and related safety tests",See product manual/SIT,Annex,Standard Mark and required BIS information,SIT/STI annex,Product/variant grouping as defined in PM,BIS licence,"Factory inspection, routine tests and surveillance",BIS Product Manual,BIS Product Manuals
PRODUCT_MANUAL,PM-00008,BIS_Product_Manuals,34,PM/15844-P1,STD-15844-P1,Sports Footwear — General Purpose,Product Manual for Sports Footwear Part 1 General Purpose,Latest indexed PM,—,Scheme-I,Sports footwear — general purpose,"Upper, sole, lining and components as specified in IS","Cutting, stitching, lasting, sole attachment, finishing and workmanship","Physical/mechanical, sole, upper, adhesion and performance tests",See manual,Annex,Standard Mark and required footwear marking,SIT annex,Model/size/material grouping per PM,BIS licence,Factory inspection/testing,BIS Product Manuals,BIS Product Manuals
PRODUCT_MANUAL,PM-00009,BIS_Product_Manuals,35,PM/15844-P2,STD-15844-P2,Sports Footwear — Performance Sports Footwear,Product Manual for Sports Footwear Part 2 Performance Sports Footwear,Latest indexed PM,—,Scheme-I,Performance sports footwear,Materials/components as per IS,Shoe construction/attachment/finishing controls,"Performance, mechanical and durability tests",See manual,Annex,Standard Mark,SIT annex,Model/material grouping,BIS licence,Factory inspection/testing,BIS Product Manuals,BIS Product Manuals
PRODUCT_MANUAL,PM-00010,BIS_Product_Manuals,36,PM/15844-P3,STD-15844-P3,Sports Footwear — Professional Sports Footwear,Product Manual for Sports Footwear Part 3 Professional Sports Footwear,Latest indexed PM,—,Scheme-I,Professional sports footwear,Materials/components as per standard,Construction/lasting/sole attachment/finishing controls,Performance and durability testing per standard,See manual,Annex,Standard Mark,SIT annex,Model/material grouping,BIS licence,Factory inspection/testing,BIS Product Manuals,BIS Product Manuals
PRODUCT_MANUAL,PM-00012,BIS_Product_Manuals,37,PM/17012,STD-17012,High Ankle Tactical Boots with PU-Rubber Sole,Product Manual for High Ankle Tactical Boots with PU-Rubber Sole,Latest indexed PM,—,Scheme-I,High ankle tactical boots with PU-rubber sole,"Leather/textile/synthetic upper, sole and components per IS","Cutting, stitching, moulding/sole attachment and finishing","Mechanical/physical, sole, upper, bond, flexibility and performance tests",See manual,Annex,Standard Mark/footwear marking,SIT annex,See manual,BIS licence,Factory inspection/testing,BIS Product Manual,BIS Product Manuals
PRODUCT_MANUAL,PM-00013,BIS_Product_Manuals,38,PM/17037,STD-17037,Anti Riot Shoes,Product Manual for Anti Riot Shoes,Latest indexed PM,—,Scheme-I,Anti-riot shoes,Materials/components as per IS,"Construction, sole attachment, stitching and finishing",Physical/mechanical/protective performance tests,See manual,Annex,Standard Mark and footwear identification,SIT annex,Model/material grouping,BIS licence,Factory inspection/testing,BIS Product Manual,BIS Product Manuals
PRODUCT_MANUAL,PM-00014,BIS_Product_Manuals,39,PM/17043-P1/4,STD-17043-P1,Shoes for Services,Product Manual for Shoes Part 1 Shoes for Services According to IS 17043 Part 1:2024,4,2024-02,Scheme-I,Shoes for services,Declaration for raw material of components to be submitted by manufacturer,Footwear manufacturing/construction/finishing controls,Tests specified by IS; exact test matrix in PM/SIT,Sampling guidelines: None stated at front section; sample size per PM,Annex,Standard Mark and footwear marking,SIT annex,Grouping: Not applicable in front section,BIS licence under Scheme-I,Factory inspection/testing,BIS PM,BIS Product Manuals
PRODUCT_MANUAL,PM-00015,BIS_Product_Manuals,40,PM/17043-P2,STD-17043-P2,Shoes for General Purpose,Product Manual for Shoes Part 2 Shoes for General Purpose,Latest indexed PM,—,Scheme-I,General-purpose shoes,Raw materials/components per IS,"Footwear construction, attachment and finishing",Physical/mechanical/performance tests per IS,See manual,Annex,Standard Mark,SIT annex,See manual,BIS licence,Factory inspection/testing,BIS Product Manuals,BIS Product Manuals
PRODUCT_MANUAL,PM-00005,BIS_Product_Manuals,41,PM/15298-P2,STD-15298-P2,Safety Footwear,Product Manual for Personal Protective Equipment Part 2 Safety Footwear,Older/current lifecycle needs verification,—,Scheme-I,Personal protective equipment — safety footwear,Materials/components as per applicable IS,"Footwear manufacturing, construction, sole/upper attachment and finishing","Impact/compression, penetration, sole and other PPE footwear tests",See applicable PM,Annex,Standard Mark/required PPE footwear marking,SIT annex,Product/model grouping per PM,BIS licence,Factory inspection/surveillance,BIS Product Manual repository,BIS Product Manuals
