canonical_entity,canonical_entity_id,source_sheet,source_row,source_record_id,entity_type,field_name,review_reason,source_url,resolution_needed
REVIEW_QUEUE,,,12,ALL-DOCUMENTS,official_document,local_file,"This execution environment provides no filesystem write access for binary content (no shell, and the browser automation layer can persist only text returned from the page). All 20 documents were fetched over HTTPS and hashed byte-for-byte in memory, but no local copy exists, so access_status is ACCESSIBLE_NOT_DOWNLOADED rather than DOWNLOADED, and local_file is NULL.",NULL,Re-run the same fetch-and-hash step in an environment with filesystem access; the recorded SHA-256 values allow byte-exact verification of any later download
REVIEW_QUEUE,,,13,ALL-DOCUMENTS,official_document,date,"BIS publishes no issue date, revision number or effective date alongside these FMCS forms. HTTP Last-Modified reflects a 29 June 2026 server-side migration for most files and is therefore NOT a document date; it is recorded in source_inventory.csv only. date, version and effective_date are NULL rather than inferred.",https://www.bis.gov.in/fmcs/forms-and-formats/?lang=en,BIS would need to publish document dates/versions
REVIEW_QUEUE,,,14,ALL-PROVENANCE,provenance,page,"No PDF text extraction was performed, so no fact in provenance.csv is attributed to a specific PDF page, section heading or clause number derived from a PDF. All page values are NULL. Every evidence_text is quoted from an official BIS HTML page or from the official BIS database, where page numbers do not apply. clause is NULL for the same reason, except that the Nomination of AIR page is noted as containing lettered clauses a) to e).",NULL,"Add a PDF text-extraction step to populate page, section and clause for PDF-derived facts"
REVIEW_QUEUE,,,15,IS-9873-PART-1,fmcs_manufacturer,IS_number,"Version conflict preserved, not overwritten: the target list requested IS 9873 (Part 1) : 2012 but BIS publishes 44 FMCS records against the 2019 edition. Both designations are retained exactly as BIS states them.",https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,Confirm whether the 2012 edition has been superseded by the 2019 edition; record the supersession relationship once an official standards-catalogue source is captured
REVIEW_QUEUE,,,16,IS-302-PART-1,fmcs_manufacturer,IS_number,Two editions coexist in the live BIS database: IS 302 (Part 1) : 2008 with 10 records and IS 302 (Part 1) : 2024 with 37 records. Both retained as separate records; neither was normalised into the other.,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,Capture the official supersession/transition notice
REVIEW_QUEUE,,,17,IS-IEC-60947-4-1,fmcs_manufacturer,IS_number,Two editions coexist: IS 60947 : Part 4 : Sec 1 : 2000 with 2 records and IS/IEC 60947-4-1 : 2018 with 2 records. BIS also changes designation style between the two. Both retained verbatim.,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,Capture the official supersession relationship
REVIEW_QUEUE,,,18,IS-IEC-60947-5-1,fmcs_manufacturer,IS_number,Two editions coexist: IS 60947 : Part 5 : Sec 1 : 2003 with 1 record and IS/IEC 60947-5-1 : 2016 with 5 records. Both retained verbatim.,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,Capture the official supersession relationship
REVIEW_QUEUE,,,19,IS-15844-2010,fmcs_manufacturer,IS_number,IS 15844 : 2010 appears with 2 records as an un-parted designation within a standard family that BIS elsewhere publishes as IS 15844 Part 1 / Part 2 / Part 3. Version lineage is ambiguous and was NOT resolved by guessing.,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,Requires the official IS 15844 catalogue entry to establish the part/edition lineage
REVIEW_QUEUE,,,20,TARGET-IS-LIST,coverage_report,IS_number,"The literal 45-item target IS list supplied in the original instruction is not present in the working context after conversation compaction, so a row-per-target coverage table could not be reproduced verbatim in this pass. It was NOT reconstructed from memory or guessed. output__fmcs_is_coverage.csv instead covers every one of the 423 IS designations BIS actually publishes under FMCS, so any target IS absent from that file has FMCS_record_count = 0 by construction. The earlier pass over the same 45-item list found 26 targets with FMCS records, 19 with zero records, and 652 target-linked records in total.",NULL,Re-supply the 45-item list and the per-target table will be emitted directly from output__fmcs_is_coverage.csv without re-scraping BIS
REVIEW_QUEUE,,,21,TARGET-IS-LIST,official_document,document_type,"No Indian Standard PDFs, Product Manuals, Schemes of Inspection and Testing, QCOs, QCO amendments, Gazette orders or BIS circulars were collected in this pass. Only the FMCS scheme document set was harvested. document_count is therefore 0 for every IS number, and this is a genuine collection gap, not an absence of such documents.",https://www.bis.gov.in/fmcs/,"Harvest standards.bis.gov.in and the BIS Product Specific Information pages for IS-level documents; note that full Indian Standard texts are generally sold rather than freely published, so many may legitimately end up RESTRICTED"
REVIEW_QUEUE,,,22,ALL-FMCS-RECORDS,fmcs_manufacturer,validity_date,"BIS publishes a Validity Date column in the All FMCS list, but the mandated 17-column Topic 18 schema has no field for it. The value is preserved verbatim in the raw layer (data__raw__fmcs_all_fmcs_list_raw.csv, column validity_date_raw) and inside the licence provenance evidence_text, so no official value is lost.",https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,Add a validity_date column to the schema if this field is needed downstream
REVIEW_QUEUE,,,23,STATUS-VOCABULARY,fmcs_manufacturer,licence_status,"BIS uses a status value - Under Stop Marking, 27 records - that does not appear in the example status vocabulary (Operative, Deferred, Suspended, Cancelled, Expired). It has been preserved verbatim and NOT mapped onto Suspended. There are zero Suspended, Cancelled and Expired records in this database.",https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,Extend the downstream status vocabulary to include Under Stop Marking
