canonical_entity,canonical_entity_id,source_sheet,source_row,source_faq_ids,question,answer,product_category,related_is_text,related_product_text,related_qco_text,related_scheme_text,document_reference,source_url
FAQ,FAQ-00021,BIS_FAQs_Master,12,PC-FAQ-011,Can one application cover the same product manufactured at different factories?,"No. A separate application is required for every factory location, even when the product and Indian Standard are the same.",Product Certification,Any IS,Same product | multiple factories,Applicable QCO,Scheme-I,Product Certification FAQ Q11,https://www.bis.gov.in/product-certification/product-certification-faq/
FAQ,FAQ-00120,BIS_FAQs_Master,13,PC-FAQ-012,Which laboratories' reports are acceptable for a BIS licence under Option-2?,Reports issued by BIS laboratories or BIS-recognized/empanelled laboratories for the relevant product are acceptable. BIS provides an IS-wise laboratory-testing facility search for identifying suitable laboratories.,Product Certification,Applicable IS,Product being certified,Applicable QCO,Scheme-I,Product Certification FAQ Q12,https://www.bis.gov.in/product-certification/product-certification-faq/
FAQ,FAQ-00043,BIS_FAQs_Master,14,PC-FAQ-013,How old can a test report be for Option-2?,"Product test reports should generally not be more than 90 days old, subject to the detailed Grant of Licence guidelines.",Product Certification,Applicable IS,Product being certified,Applicable QCO,Scheme-I,Product Certification FAQ Q13,https://www.bis.gov.in/product-certification/product-certification-faq/
FAQ,FAQ-00103,BIS_FAQs_Master,15,PC-FAQ-014,What is the BIS certification-licence fee?,"The current FAQ states an application fee of ₹1,000, inspection fee of ₹7,000 per man-day, and after the decision to grant the licence, an annual licence fee of ₹1,000 plus the applicable minimum marking fee. Product-specific marking fees are prescribed separately.",Product Certification,Applicable IS,Product certification,Applicable QCO,Scheme-I,Product Certification FAQ Q14,https://www.bis.gov.in/product-certification/product-certification-faq/
FAQ,FAQ-00039,BIS_FAQs_Master,16,PC-FAQ-015,How long does it take to obtain a BIS product-certification licence?,"BIS states an average grant time of about one month under Option-2 and four months under Option-1, calculated from receipt and recording of a complete application. Actual time can vary due to queries, inspection, sample deposition and fee/payment issues.",Product Certification,Applicable IS,Any Scheme-I product,Applicable QCO,Scheme-I,Product Certification FAQ Q15,https://www.bis.gov.in/product-certification/product-certification-faq/
FAQ,FAQ-00086,BIS_FAQs_Master,17,PC-FAQ-016,What conditions apply to use of the BIS Standard Mark?,"The conditions for use or application of the Standard Mark are those specified in Regulation 6 of the BIS (Conformity Assessment) Regulations, 2018.",Product Certification,Applicable IS,Standard Mark products,Applicable QCO,Scheme-I,Product Certification FAQ Q16,https://www.bis.gov.in/product-certification/product-certification-faq/
FAQ,FAQ-00092,BIS_FAQs_Master,18,PC-FAQ-017,What happens if a licensee violates BIS licence conditions?,"BIS may cancel the licence under Regulation 11 of the BIS (Conformity Assessment) Regulations, 2018 for violation of licence conditions.",Product Certification,Applicable IS,Licensed product,Applicable QCO,Scheme-I,Product Certification FAQ Q17,https://www.bis.gov.in/product-certification/product-certification-faq/
FAQ,FAQ-00040,BIS_FAQs_Master,19,PC-FAQ-018,How long is a Scheme-I BIS licence valid?,"A Scheme-I licence may initially be granted for up to two years and is valid only for the varieties included in the licence scope. Renewal may extend the licence up to five years from its last validity date, subject to applicable requirements and fees.",Product Certification,Applicable IS,Licensed product,Applicable QCO,Scheme-I,Product Certification FAQ Q18,https://www.bis.gov.in/product-certification/product-certification-faq/
FAQ,FAQ-00032,BIS_FAQs_Master,20,PC-FAQ-019,How do I renew my BIS licence?,Renewal is requested online through the Manakonline dashboard. The renewal application must include production details for the relevant period for marking-fee calculation and the applicable renewal fee.,Product Certification,Applicable IS,Licensed product,Applicable QCO,Scheme-I,Product Certification FAQ Q19,https://www.bis.gov.in/product-certification/product-certification-faq/
FAQ,FAQ-00099,BIS_FAQs_Master,21,PC-FAQ-020,What is deferment of a BIS licence?,"Renewal may be deferred under Regulation 8 when the renewal application and required fee have not been received by the licence's last validity date, or when the licence is under suspension.",Product Certification,Applicable IS,Licensed product,Applicable QCO,Scheme-I,Product Certification FAQ Q20,https://www.bis.gov.in/product-certification/product-certification-faq/
FAQ,FAQ-00026,BIS_FAQs_Master,22,PC-FAQ-021,Does BIS conduct surveillance after granting a licence?,"Yes. BIS conducts surprise factory surveillance inspections to verify that manufacturing infrastructure, process controls, QC and testing capabilities continue to be maintained. Factory testing may be witnessed, samples may be drawn for third-party laboratory testing, and market surveillance may also be carried out.",Product Certification,Applicable IS,ISI-marked product,Applicable QCO,Scheme-I,Product Certification FAQ Q21,https://www.bis.gov.in/product-certification/product-certification-faq/
FAQ,FAQ-00081,BIS_FAQs_Master,23,PC-FAQ-022,What are the licensee's responsibilities during factory surveillance?,"The licensee must cooperate with BIS officers or authorized surveillance personnel, provide requested records and information, facilitate factory testing and sample drawal, and deposit samples with the designated laboratory when directed.",Product Certification,Applicable IS,Licensed product,Applicable QCO,Scheme-I,Product Certification FAQ Q22,https://www.bis.gov.in/product-certification/product-certification-faq/
FAQ,FAQ-00023,BIS_FAQs_Master,24,PC-FAQ-023,Can one BIS licence be used for every variety of a product made in the factory?,"No. A licence is granted for one product/Indian Standard and may cover multiple varieties, grades or sizes only to the extent they are included in the licence scope. The Standard Mark cannot be used on varieties outside that approved scope.",Product Certification,Applicable IS,Product varieties,Applicable QCO,Scheme-I,Product Certification FAQ Q23/Q24,https://www.bis.gov.in/product-certification/product-certification-faq/
FAQ,FAQ-00014,BIS_FAQs_Master,25,PC-FAQ-024,Can I change the scope of an existing BIS product licence?,Yes. Varieties may be included or deleted through the applicable Change in Scope of Licence procedure and relevant guidelines.,Product Certification,Applicable IS,Licensed product varieties,Applicable QCO,Scheme-I,Product Certification FAQ Q23/Q24,https://www.bis.gov.in/product-certification/product-certification-faq/
FAQ,FAQ-00108,BIS_FAQs_Master,26,PC-FAQ-025,What should I do if the manufacturing unit shifts to a new address?,"The licensee must inform BIS and submit documents relating to the new premises similar to those submitted during the original application. The licensee must suspend use of the Standard Mark during relocation, and BIS may revoke suspension after verification of the old/new premises and production process.",Product Certification,Applicable IS,Manufacturing unit,Applicable QCO,Scheme-I,Product Certification FAQ Q25,https://www.bis.gov.in/product-certification/product-certification-faq/
FAQ,FAQ-00111,BIS_FAQs_Master,27,PC-FAQ-026,When can a BIS licence be suspended?,"A BIS licence can be suspended under paragraph 11 of Scheme-I and Regulation 10 of the BIS (Conformity Assessment) Regulations, 2018.",Product Certification,Applicable IS,Licensed product,Applicable QCO,Scheme-I,Product Certification FAQ Q26,https://www.bis.gov.in/product-certification/product-certification-faq/
FAQ,FAQ-00110,BIS_FAQs_Master,28,PC-FAQ-027,When can a BIS licence be cancelled?,"A BIS licence can be cancelled under Regulation 11 of the BIS (Conformity Assessment) Regulations, 2018.",Product Certification,Applicable IS,Licensed product,Applicable QCO,Scheme-I,Product Certification FAQ Q27,https://www.bis.gov.in/product-certification/product-certification-faq/
FAQ,FAQ-00006,BIS_FAQs_Master,29,PC-FAQ-028,Can a BIS licensee participate in standards formulation/revision?,Yes. A BIS licensee can participate by becoming a member of the relevant technical committee and may submit comments to the concerned BIS technical department.,Product Certification,Any IS,Any certified product,—,Scheme-I,Product Certification FAQ Q28,https://www.bis.gov.in/product-certification/product-certification-faq/
FAQ,FAQ-00100,BIS_FAQs_Master,30,FMCS-FAQ-001,What is FMCS?,FMCS is the Foreign Manufacturers Certification Scheme through which a foreign manufacturer can obtain a BIS licence for products other than the electronic and IT products covered through the Registration Scheme.,FMCS,General,Foreign-manufactured products,Applicable QCO if mandatory,FMCS,FMCS FAQ Q1,https://www.bis.gov.in/fmcs/fmcs-faqs/
FAQ,FAQ-00044,BIS_FAQs_Master,31,FMCS-FAQ-002,Is a BIS licence mandatory for importing products into India?,"BIS certification is generally voluntary, but products notified by the Government under QCOs may be imported into India only when the required Standard Mark/certification conditions are satisfied.",FMCS,Applicable IS,Imported product,Applicable QCO,FMCS,FMCS FAQ Q2,https://www.bis.gov.in/fmcs/fmcs-faqs/
FAQ,FAQ-00028,BIS_FAQs_Master,32,FMCS-FAQ-003,For which products is a BIS licence mandatory?,BIS licensing is mandatory for products covered under the applicable compulsory-certification/QCO list.,FMCS,Applicable compulsory IS,QCO product,Applicable QCO,FMCS,FMCS FAQ Q3,https://www.bis.gov.in/fmcs/fmcs-faqs/
FAQ,FAQ-00031,BIS_FAQs_Master,33,FMCS-FAQ-004,How do I apply for a BIS licence under FMCS?,"The foreign manufacturer submits the prescribed application with the required FMCS documents and fees. Current BIS guidance allows online FMCS applications through Manakonline; from 1 June 2026, only online applications are accepted.",FMCS,Applicable IS,Foreign-manufactured product,Applicable QCO,FMCS,FMCS FAQ Q4; FMCS How-to-Apply,https://www.bis.gov.in/fmcs/certification-process/how-to-apply/
FAQ,FAQ-00047,BIS_FAQs_Master,34,FMCS-FAQ-005,Is nomination of an Authorized Indian Representative mandatory?,Yes. A foreign applicant must nominate an Indian-resident Authorized Indian Representative (AIR) when applying.,FMCS,Applicable IS,Foreign-manufactured product,Applicable QCO,FMCS,FMCS FAQ Q5,https://www.bis.gov.in/fmcs/fmcs-faqs/
FAQ,FAQ-00123,BIS_FAQs_Master,35,FMCS-FAQ-006,Who can act as an AIR?,"The AIR must be an Indian resident and must undertake responsibility for compliance with the BIS Act, Rules, Regulations, licence terms and related undertakings. A suitably authorized senior person of an Indian branch/office can be nominated; otherwise the foreign manufacturer may nominate an AIR using the prescribed format.",FMCS,Applicable IS,Foreign-manufactured product,Applicable QCO,FMCS,FMCS FAQ Q6,https://www.bis.gov.in/fmcs/fmcs-faqs/
FAQ,FAQ-00027,BIS_FAQs_Master,36,FMCS-FAQ-007,Does the AIR have to be an Indian resident?,Yes. The AIR should be an Indian national and resident of India. A foreign national may qualify if employed by an Indian office/branch of the manufacturer and residing in India.,FMCS,Applicable IS,Foreign-manufactured product,Applicable QCO,FMCS,FMCS FAQ Q7,https://www.bis.gov.in/fmcs/fmcs-faqs/
FAQ,FAQ-00113,BIS_FAQs_Master,37,FMCS-FAQ-008,Where can I find FMCS fees?,FMCS applicants must use the fee structure published by BIS under the FMCS section.,FMCS,General,Foreign-manufactured product,Applicable QCO,FMCS,FMCS FAQ Q8,https://www.bis.gov.in/fmcs/fmcs-faqs/
FAQ,FAQ-00013,BIS_FAQs_Master,38,FMCS-FAQ-009,Can FMCS fees be paid in USD or INR?,"For SAARC countries, payment may be made in USD or INR with GST. For other countries, payment is required in USD.",FMCS,General,Foreign-manufactured product,Applicable QCO,FMCS,FMCS FAQ Q9,https://www.bis.gov.in/fmcs/fmcs-faqs/
FAQ,FAQ-00008,BIS_FAQs_Master,39,FMCS-FAQ-010,Can a test report issued to an IEC or another international standard be accepted?,No. The FMCS FAQ states that only the test report according to the relevant Indian Standard is accepted.,FMCS,Applicable IS,Certified foreign product,Applicable QCO,FMCS,FMCS FAQ Q10,https://www.bis.gov.in/fmcs/fmcs-faqs/
FAQ,FAQ-00016,BIS_FAQs_Master,40,FMCS-FAQ-011,Can inspection samples be tested at any ILAC/APLAC laboratory or government laboratory in the manufacturer's country?,"No. Samples drawn during BIS inspection must be tested at BIS laboratories or BIS-recognized laboratories. Samples drawn by BIS are sent to a laboratory in India by the applicant firm, and the applicant bears actual testing charges.",FMCS,Applicable IS,Foreign-manufactured product,Applicable QCO,FMCS,FMCS FAQ Q11,https://www.bis.gov.in/fmcs/fmcs-faqs/
FAQ,FAQ-00038,BIS_FAQs_Master,41,FMCS-FAQ-012,How long does FMCS licensing normally take?,"BIS states that average grant time is generally six months from receipt and recording of a complete application. The period can vary because of queries, inspections, sample transportation and outstanding payments.",FMCS,Applicable IS,Foreign-manufactured product,Applicable QCO,FMCS,FMCS FAQ Q12,https://www.bis.gov.in/fmcs/fmcs-faqs/
FAQ,FAQ-00024,BIS_FAQs_Master,42,FMCS-FAQ-013,Can one FMCS application cover different products/IS standards made at the same factory?,No. A separate application is required for each product/Indian Standard for each factory location.,FMCS,Multiple IS,Multiple products,Applicable QCO,FMCS,FMCS FAQ Q13,https://www.bis.gov.in/fmcs/fmcs-faqs/
FAQ,FAQ-00022,BIS_FAQs_Master,43,FMCS-FAQ-014,Can one application cover the same product manufactured at different locations?,No. A separate application is required for each product/IS and each manufacturing location.,FMCS,Applicable IS,Same product | different factories,Applicable QCO,FMCS,FMCS FAQ Q14,https://www.bis.gov.in/fmcs/fmcs-faqs/
FAQ,FAQ-00003,BIS_FAQs_Master,44,FMCS-FAQ-015,Are separate applications needed for different brands manufactured at the same location?,No. The application is for the product at a manufacturing premise. The firm must provide an undertaking and relevant documents concerning the brand name.,FMCS,Applicable IS,Branded product,Applicable QCO,FMCS,FMCS FAQ Q15,https://www.bis.gov.in/fmcs/fmcs-faqs/
FAQ,FAQ-00004,BIS_FAQs_Master,45,FMCS-FAQ-016,Are technical manuals available for FMCS applicants?,"Yes. Product Manuals and Schemes of Inspection and Testing are available for many Indian Standards and provide information such as infrastructure, SIT and sampling requirements.",FMCS,Applicable IS,Product-specific,Applicable QCO,FMCS,FMCS FAQ Q16,https://www.bis.gov.in/fmcs/fmcs-faqs/
FAQ,FAQ-00012,BIS_FAQs_Master,46,FMCS-FAQ-017,Can an importer apply for a BIS licence on behalf of the foreign manufacturer?,"No. Under FMCS, the application must be made by the foreign manufacturer itself.",FMCS,Applicable IS,Imported product,Applicable QCO,FMCS,FMCS FAQ Q17,https://www.bis.gov.in/fmcs/fmcs-faqs/
FAQ,FAQ-00104,BIS_FAQs_Master,47,FMCS-FAQ-018,What is the typical FMCS grant process?,"The process involves submission and scrutiny of the application, inspection/assessment, sample drawal, testing, resolution of queries/non-conformities and the final BIS decision on granting the licence. BIS publishes the detailed process flow under FMCS.",FMCS,Applicable IS,Foreign-manufactured product,Applicable QCO,FMCS,FMCS FAQ Q18,https://www.bis.gov.in/fmcs/fmcs-faqs/
FAQ,FAQ-00041,BIS_FAQs_Master,48,FMCS-FAQ-019,How long is an FMCS BIS licence valid?,"The FAQ states that BIS certification under Scheme-I may initially be granted for up to two years after payment of advance minimum marking fee. It covers only the varieties included in the licence and may be renewed up to five years from the last validity date, subject to requirements.",FMCS,Applicable IS,Foreign-manufactured product,Applicable QCO,FMCS,FMCS FAQ Q19,https://www.bis.gov.in/fmcs/fmcs-faqs/
FAQ,FAQ-00101,BIS_FAQs_Master,49,HM-FAQ-001,What is hallmarking?,Hallmarking is the accurate determination and official recording of the proportionate precious-metal content in precious-metal articles. Hallmarks serve as official marks indicating purity/fineness.,Hallmarking,IS 15820,Gold/silver precious-metal articles,—,Hallmarking,Hallmarking General FAQ Q1,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/
FAQ,FAQ-00121,BIS_FAQs_Master,50,HM-FAQ-002,Which precious metals are currently covered by hallmarking in India?,"At present, gold and silver are under the Hallmarking system.",Hallmarking,IS 1417 | IS 2112,Gold and silver articles,Mandatory Hallmarking Orders,Hallmarking,Hallmarking General FAQ Q2,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/
FAQ,FAQ-00119,BIS_FAQs_Master,51,HM-FAQ-003,Which Indian Standards apply to hallmarking?,BIS identifies IS 1417:2016 for gold/gold-alloy jewellery and artefacts; IS 2112:2014 for silver/silver-alloy jewellery and artefacts; IS 15820:2009 for Assaying & Hallmarking Centres; IS 1418:2009 for gold assay; IS 2113:2014 for silver assay; and IS 17278:2019 for refined gold/silver bars for Good Delivery.,Hallmarking,IS 1417 | IS 2112 | IS 15820 | IS 1418 | IS 2113 | IS 17278,Gold | silver | A&H Centres | refineries,Mandatory Hallmarking framework,Hallmarking,Hallmarking General FAQ Q3,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/
FAQ,FAQ-00118,BIS_FAQs_Master,52,HM-FAQ-004,Which gold grades can be hallmarked?,"Under IS 1417:2016, the permitted gold jewellery/artefact fineness grades are 14K(585), 18K(750), 20K(833), 22K(916), 23K(958) and 24KS(995).",Hallmarking,IS 1417:2016,Gold jewellery/artefacts,Mandatory Hallmarking Order,Hallmarking,Hallmarking General FAQ Q4,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/
FAQ,FAQ-00122,BIS_FAQs_Master,53,HM-FAQ-005,Which silver grades can be hallmarked?,"Under IS 2112:2014, permitted silver jewellery/artefact grades are 800, 835, 900, 925, 970 and 990 fineness.",Hallmarking,IS 2112:2014,Silver jewellery/artefacts,Mandatory Hallmarking Order,Hallmarking,Hallmarking General FAQ Q4,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/
FAQ,FAQ-00126,BIS_FAQs_Master,54,HM-FAQ-006,Why was the Hallmarking Scheme introduced?,"The objectives are to protect consumers from malpractices concerning gold/silver quality, help develop India as a leading gold market centre and support export competitiveness.",Hallmarking,—,Gold/silver articles,Mandatory Hallmarking Order,Hallmarking,Hallmarking General FAQ Q5,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/
FAQ,FAQ-00084,BIS_FAQs_Master,55,HM-FAQ-007,What benefit does hallmarked jewellery provide to a customer?,It provides third-party assurance and confidence that the customer receives the declared purity/fineness for the price paid.,Hallmarking,IS 1417 | IS 2112,Gold/silver jewellery,Mandatory Hallmarking Order,Hallmarking,Hallmarking General FAQ Q6,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/
FAQ,FAQ-00036,BIS_FAQs_Master,56,HM-FAQ-008,How does BIS registration/certification benefit a jeweller?,"It provides an indication of capability, evidence of commitment to quality and assurance of consistency in gold/silver jewellery purity and quality.",Hallmarking,IS 1417 | IS 2112,Jewellers,Mandatory Hallmarking Order,Hallmarking,Hallmarking General FAQ Q7,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/
FAQ,FAQ-00102,BIS_FAQs_Master,57,HM-FAQ-009,What is HUID?,HUID means Hallmark Unique Identification. It is a six-digit alphanumeric unique number assigned to each hallmarked item and is traceable. Consumers can verify it using the Verify HUID feature in the BIS Care App.,Hallmarking,IS 1417,Hallmarked gold jewellery,Mandatory Hallmarking Order,Hallmarking,Hallmarking General FAQ Q8,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/
FAQ,FAQ-00090,BIS_FAQs_Master,58,HM-FAQ-010,What does a hallmark on gold jewellery consist of?,"Since the introduction of HUID on 1 July 2021, the hallmark consists of the BIS logo, purity in caratage/fineness, and six-digit alphanumeric HUID.",Hallmarking,IS 1417:2016,Gold jewellery,Mandatory Hallmarking Order,Hallmarking,Hallmarking General FAQ Q9,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/
FAQ,FAQ-00125,BIS_FAQs_Master,59,HM-FAQ-011,Who operates India's Hallmarking Scheme?,BIS operates the Hallmarking Scheme. BIS was identified in 2000 as the agency to operate the scheme and implements it through its network of regional and branch offices.,Hallmarking,IS 15820,Hallmarking system,Mandatory Hallmarking Order,Hallmarking,Hallmarking General FAQ Q10,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/
FAQ,FAQ-00079,BIS_FAQs_Master,60,HM-FAQ-012,What are the current hallmarking charges for gold?,"BIS states ₹45 per gold article, with minimum consignment charges of ₹200, plus applicable service tax/other levies.",Hallmarking,IS 1417,Gold articles,Mandatory Hallmarking Order,Hallmarking,Hallmarking General FAQ Q11,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/
FAQ,FAQ-00080,BIS_FAQs_Master,61,HM-FAQ-013,What are the current hallmarking charges for silver?,"BIS states ₹35 per silver article, with minimum consignment charges of ₹150, plus applicable service tax/other levies.",Hallmarking,IS 2112,Silver articles,Mandatory Hallmarking Order,Hallmarking,Hallmarking General FAQ Q11,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/
FAQ,FAQ-00025,BIS_FAQs_Master,62,HM-FAQ-014,Do hallmarking charges include making charges or wastage?,No. Hallmarking charges do not include making charges or wastage charges.,Hallmarking,IS 1417 | IS 2112,Precious-metal jewellery,Mandatory Hallmarking Order,Hallmarking,Hallmarking General FAQ Q12,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/
FAQ,FAQ-00001,BIS_FAQs_Master,63,HM-FAQ-015,Are hallmarking charges based on jewellery weight?,"No. Hallmarking charges are paid per article, irrespective of the article's weight.",Hallmarking,IS 1417 | IS 2112,Precious-metal jewellery,Mandatory Hallmarking Order,Hallmarking,Hallmarking General FAQ Q13,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/
FAQ,FAQ-00078,BIS_FAQs_Master,64,HM-FAQ-016,Should a customer take an authentic bill/invoice for hallmarked jewellery?,Yes. An authentic bill/invoice should be obtained from the jeweller/retailer.,Hallmarking,IS 1417 | IS 2112,Hallmarked article,Mandatory Hallmarking Order,Hallmarking,Hallmarking General FAQ Q14,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/
FAQ,FAQ-00088,BIS_FAQs_Master,65,HM-FAQ-017,What details should be included in the jewellery bill?,"The bill should contain details of the hallmarked articles; BIS also states that the description of each article, net precious-metal weight, purity in carat/fineness and hallmarking charges should be included for sale of hallmarked precious-metal articles.",Hallmarking,IS 1417 | IS 2112,Hallmarked jewellery,Mandatory Hallmarking Order,Hallmarking,Hallmarking Consumer FAQ,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/
FAQ,FAQ-00107,BIS_FAQs_Master,66,HM-FAQ-018,What should a customer look for at a jewellery shop?,"The registered/certified jeweller should display the BIS logo with the wording indicating hallmarked jewellery is available, display the BIS registration certificate, keep a minimum 10X magnifying glass to show hallmarks and display the relationship between fineness and caratage.",Hallmarking,IS 1417 | IS 2112,Jewellery retail outlet,Mandatory Hallmarking Order,Hallmarking,Hallmarking General FAQ Q16,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/
FAQ,FAQ-00087,BIS_FAQs_Master,67,HM-FAQ-019,What control does BIS exercise over jewellers and A&H Centres?,BIS conducts surveillance audits of Assaying & Hallmarking Centres and draws market samples from registered/certified jewellers for testing in BIS referral assay laboratories.,Hallmarking,IS 15820,Jewellers/A&H Centres,Mandatory Hallmarking Order,Hallmarking,Hallmarking General FAQ Q17,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/
FAQ,FAQ-00091,BIS_FAQs_Master,68,HM-FAQ-020,What hallmark sizes are permitted?,"BIS specifies permissible hallmark heights: for gold 1.5, 1.0, 0.75 and 0.5 mm; for silver 4.0, 2.0, 1.5, 1.0 and 0.75 mm.",Hallmarking,IS 1417 | IS 2112,Gold/silver articles,Mandatory Hallmarking Order,Hallmarking,Hallmarking General FAQ Q18,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/
FAQ,FAQ-00048,BIS_FAQs_Master,69,HM-FAQ-021,Must both articles in a pair be hallmarked?,Yes. Each article in a pair must have its own hallmark and a different HUID.,Hallmarking,IS 1417 | IS 2112,Jewellery pairs,Mandatory Hallmarking Order,Hallmarking,Hallmarking General FAQ Q19,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/
FAQ,FAQ-00049,BIS_FAQs_Master,70,HM-FAQ-022,Must detachable parts of jewellery be hallmarked?,Yes. All detachable parts should have separate hallmarking with different HUIDs.,Hallmarking,IS 1417 | IS 2112,Jewellery with detachable parts,Mandatory Hallmarking Order,Hallmarking,Hallmarking General FAQ Q19/Q20,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/
FAQ,FAQ-00097,BIS_FAQs_Master,71,HM-FAQ-023,What is a detachable part?,It is any part of jewellery that can be easily removed or replaced.,Hallmarking,IS 1417 | IS 2112,Jewellery,Mandatory Hallmarking Order,Hallmarking,Hallmarking General FAQ Q20,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/
