relationship_id,notification_id,notification_number,target_entity,target_entity_id,target_entity_label,relationship_type,relation_context,evidence_column,evidence_value,unmatched_reference,source_file_ids,source_files,source_sheets,source_rows,confidence,review_flag
REL-NOTIFI-0000011,NOTIF-00472,"S.O. lar Photovoltaics, Systems, Devices and Components Goods (Requirements for Compulsory Registration) Order, 2017 S.O. 2920(E) dated 30 August 2017; S.O. 1602(E) dated 16 April 2018; S.O. No. 2183(E) dated 30 May 2018; S.O. No. 5259(E) dated 12 October 2018; S.O. 444(E), dated 24 January 2023; S.O. 492(E) dated 27 January 2025; S.O. lar System, Devices and Components Goods Order, 2025 for SPV Inverters of the capacity more than 200 KW S.O. 3597(E) dated 05 August, 2025",STANDARD,STD-01754,IS/IEC 61730 (Part 1),NOTIFIES,notification_number,notification_number,"S.O. lar Photovoltaics, Systems, Devices and Components Goods (Requirements for Compulsory Registration) Order, 2017 S.O. 2920(E) dated 30 August 2017; S.O. 1602(E) dated 16 April 2018; S.O. No. 2183(E) dated 30 May 2018; S.O. No. 5259(E) dated 12 October 2018; S.O. 444(E), dated 24 January 2023; S.O. 492(E) dated 27 January 2025; S.O. lar System, Devices and Components Goods Order, 2025 for SPV Inverters of the capacity more than 200 KW S.O. 3597(E) dated 05 August, 2025",,F001,05_scheme_ii.csv,,68,1.00,
REL-NOTIFI-0000012,NOTIF-00472,"S.O. lar Photovoltaics, Systems, Devices and Components Goods (Requirements for Compulsory Registration) Order, 2017 S.O. 2920(E) dated 30 August 2017; S.O. 1602(E) dated 16 April 2018; S.O. No. 2183(E) dated 30 May 2018; S.O. No. 5259(E) dated 12 October 2018; S.O. 444(E), dated 24 January 2023; S.O. 492(E) dated 27 January 2025; S.O. lar System, Devices and Components Goods Order, 2025 for SPV Inverters of the capacity more than 200 KW S.O. 3597(E) dated 05 August, 2025",STANDARD,STD-01755,IS/IEC 61730 (Part 2),NOTIFIES,notification_number,notification_number,"S.O. lar Photovoltaics, Systems, Devices and Components Goods (Requirements for Compulsory Registration) Order, 2017 S.O. 2920(E) dated 30 August 2017; S.O. 1602(E) dated 16 April 2018; S.O. No. 2183(E) dated 30 May 2018; S.O. No. 5259(E) dated 12 October 2018; S.O. 444(E), dated 24 January 2023; S.O. 492(E) dated 27 January 2025; S.O. lar System, Devices and Components Goods Order, 2025 for SPV Inverters of the capacity more than 200 KW S.O. 3597(E) dated 05 August, 2025",,F001,05_scheme_ii.csv,,69,1.00,
REL-NOTIFI-0000013,NOTIF-00429,"Ortho Phosphoric Acid (Quality Control) Amendment Order, 2021 (S.O. 2335(E) dated 15.06.2021); Ortho Phosphoric Acid (Quality Control) Amendment Order, 2021 (S.O. 4914(E) dated 29.11.2021); Ortho Phosphoric Acid (Quality Control) Order, 2021 (Amendment order for various chemicals, dated 13/05/2022); Ortho Phosphoric Acid (Quality Control) Amendment Order, 2024 S.O. 1709(E), dated 13th April 2024; Ortho Phosphoric Acid (Quality Control) Second Amendment Order, 2024 S.O. 2975(E), dated 26th July 2024",STANDARD,STD-01561,IS 798,NOTIFIES,notification_number,notification_number,"Ortho Phosphoric Acid (Quality Control) Amendment Order, 2021 (S.O. 2335(E) dated 15.06.2021); Ortho Phosphoric Acid (Quality Control) Amendment Order, 2021 (S.O. 4914(E) dated 29.11.2021); Ortho Phosphoric Acid (Quality Control) Order, 2021 (Amendment order for various chemicals, dated 13/05/2022); Ortho Phosphoric Acid (Quality Control) Amendment Order, 2024 S.O. 1709(E), dated 13th April 2024; Ortho Phosphoric Acid (Quality Control) Second Amendment Order, 2024 S.O. 2975(E), dated 26th July 2024",,F001,05_scheme_ii.csv,,76,1.00,
REL-NOTIFI-0000014,NOTIF-00431,"Polyphosphoric Acid (Quality Control) Order, 2021 (S.O. 5388(E), dated 24.12.2021); Polyphosphoric Acid (Quality Control) Order, 2021 (Amendment order for various chemicals, dated 13/05/2022)",STANDARD,STD-00780,IS 17439,NOTIFIES,notification_number,notification_number,"Polyphosphoric Acid (Quality Control) Order, 2021 (S.O. 5388(E), dated 24.12.2021); Polyphosphoric Acid (Quality Control) Order, 2021 (Amendment order for various chemicals, dated 13/05/2022)",,F001,05_scheme_ii.csv,,77,1.00,
REL-NOTIFI-0000015,NOTIF-00474,"Trimethyl Phosphite (Quality Control) Order, 2022 (S.O. 1637(E), dated 05.04.2022)",STANDARD,STD-00776,IS 17412,NOTIFIES,notification_number,notification_number,"Trimethyl Phosphite (Quality Control) Order, 2022 (S.O. 1637(E), dated 05.04.2022)",,F001,05_scheme_ii.csv,,78,1.00,
REL-NOTIFI-0000016,NOTIF-00020,"Cotton Bales (Quality Control) Order, 2023 S.O. 948(E), dated 28 February 2023; Amendment Order S.O. 3557(E), dated 07 August 2023; Amendment Order S.O. 3830(E), dated 28 August 2023; Amendment Order S.O. 3469(E), dated 13th August 2024; Amendment Order S.O. 2996(E) dated 03 July, 2025; Amendment Order S.O. 2956(E) dated 09 June, 2026 (Rescind Order of the Cotton Bales Quality Control Order 2023)",STANDARD,STD-00179,IS 12171,NOTIFIES,notification_number,notification_number,"Cotton Bales (Quality Control) Order, 2023 S.O. 948(E), dated 28 February 2023; Amendment Order S.O. 3557(E), dated 07 August 2023; Amendment Order S.O. 3830(E), dated 28 August 2023; Amendment Order S.O. 3469(E), dated 13th August 2024; Amendment Order S.O. 2996(E) dated 03 July, 2025; Amendment Order S.O. 2956(E) dated 09 June, 2026 (Rescind Order of the Cotton Bales Quality Control Order 2023)",,F001,05_scheme_ii.csv,,79,1.00,
REL-NOTIFI-0000017,NOTIF-00441,"S.O. 1673(E), dated 27-05-2020",STANDARD,STD-01092,IS 3024,NOTIFIES,notification_number,notification_number,"S.O. 1673(E), dated 27-05-2020",,F002,06_scheme_iv.csv,,2,1.00,
REL-NOTIFI-0000018,NOTIF-00441,"S.O. 1673(E), dated 27-05-2020",STANDARD,STD-01435,IS 648,NOTIFIES,notification_number,notification_number,"S.O. 1673(E), dated 27-05-2020",,F002,06_scheme_iv.csv,,3,1.00,
REL-NOTIFI-0000019,NOTIF-00441,"S.O. 1673(E), dated 27-05-2020",STANDARD,STD-00669,IS 16585,NOTIFIES,notification_number,notification_number,"S.O. 1673(E), dated 27-05-2020",,F002,06_scheme_iv.csv,,4,1.00,
REL-NOTIFI-0000020,NOTIF-00447,"S.O. 2290(E) dated 07/07/2020; Bicycles- Retro Reflective Devices (Quality Control) Order, 2021 (S.O. 2028(E) dated 25.05.2021); Bicycles- Retro Reflective Devices (Quality Control) Amendment Order, 2021 (S.O. 5400(E), dated 24/12/2021); Bicycles- Retro-Reflective Devices (Quality Control) Order, 2023 (S.O. 882(E), dated 23 February 2023); Corrigendum for Bicycles Retro-Reflective Devices (Quality Control) Amendment Order, 2023 (S.O. 1441(E), dated 27 March 2023)",STANDARD,STD-00066,IS 10613,NOTIFIES,notification_number,notification_number,"S.O. 2290(E) dated 07/07/2020; Bicycles- Retro Reflective Devices (Quality Control) Order, 2021 (S.O. 2028(E) dated 25.05.2021); Bicycles- Retro Reflective Devices (Quality Control) Amendment Order, 2021 (S.O. 5400(E), dated 24/12/2021); Bicycles- Retro-Reflective Devices (Quality Control) Order, 2023 (S.O. 882(E), dated 23 February 2023); Corrigendum for Bicycles Retro-Reflective Devices (Quality Control) Amendment Order, 2023 (S.O. 1441(E), dated 27 March 2023)",,F002,06_scheme_iv.csv,,5,1.00,
REL-NOTIFI-0000021,NOTIF-00441,"S.O. 1673(E), dated 27-05-2020",STANDARD,STD-01092,IS 3024,NOTIFIES,notification_number,notification_number,"S.O. 1673(E), dated 27-05-2020",,F002,06_scheme_iv.csv,,6,1.00,
REL-NOTIFI-0000022,NOTIF-00446,S.O. 2290(E) dated 07/07/2020,STANDARD,STD-00066,IS 10613,NOTIFIES,notification_number,notification_number,S.O. 2290(E) dated 07/07/2020,,F002,06_scheme_iv.csv,,7,1.00,
REL-NOTIFI-0000023,NOTIF-00022,"Electrical Equipment (Quality Control) Order, 2020 - S.O. 4044(E), dated 11 No. vember 2020",STANDARD,STD-01750,IS/IEC 60947 (Part 2),NOTIFIES,notification_number,notification_number,"Electrical Equipment (Quality Control) Order, 2020 - S.O. 4044(E), dated 11 No. vember 2020",,F003,07_scheme_x.csv,,2,1.00,
REL-NOTIFI-0000024,NOTIF-00021,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",STANDARD,STD-01750,IS/IEC 60947 (Part 2),NOTIFIES,notification_number,notification_number,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",,F003,07_scheme_x.csv,,3,1.00,
REL-NOTIFI-0000025,NOTIF-00023,"Electrical Equipment (Quality Control) Second Amendment Order, 2024 - S.O. 2007(E), dated 5 May 2025",STANDARD,STD-01750,IS/IEC 60947 (Part 2),NOTIFIES,notification_number,notification_number,"Electrical Equipment (Quality Control) Second Amendment Order, 2024 - S.O. 2007(E), dated 5 May 2025",,F003,07_scheme_x.csv,,4,1.00,
REL-NOTIFI-0000026,NOTIF-00021,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",STANDARD,STD-01750,IS/IEC 60947 (Part 2),NOTIFIES,notification_number,notification_number,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",,F003,07_scheme_x.csv,,5,1.00,
REL-NOTIFI-0000027,NOTIF-00023,"Electrical Equipment (Quality Control) Second Amendment Order, 2024 - S.O. 2007(E), dated 5 May 2025",STANDARD,STD-01750,IS/IEC 60947 (Part 2),NOTIFIES,notification_number,notification_number,"Electrical Equipment (Quality Control) Second Amendment Order, 2024 - S.O. 2007(E), dated 5 May 2025",,F003,07_scheme_x.csv,,6,1.00,
REL-NOTIFI-0000028,NOTIF-00021,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",STANDARD,STD-01750,IS/IEC 60947 (Part 2),NOTIFIES,notification_number,notification_number,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",,F003,07_scheme_x.csv,,7,1.00,
REL-NOTIFI-0000029,NOTIF-00021,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",STANDARD,STD-01750,IS/IEC 60947 (Part 2),NOTIFIES,notification_number,notification_number,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",,F003,07_scheme_x.csv,,8,1.00,
REL-NOTIFI-0000030,NOTIF-00021,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",STANDARD,STD-01750,IS/IEC 60947 (Part 2),NOTIFIES,notification_number,notification_number,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",,F003,07_scheme_x.csv,,9,1.00,
REL-NOTIFI-0000031,NOTIF-00021,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",STANDARD,STD-01750,IS/IEC 60947 (Part 2),NOTIFIES,notification_number,notification_number,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",,F003,07_scheme_x.csv,,10,1.00,
REL-NOTIFI-0000032,NOTIF-00021,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",STANDARD,STD-01750,IS/IEC 60947 (Part 2),NOTIFIES,notification_number,notification_number,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",,F003,07_scheme_x.csv,,11,1.00,
REL-NOTIFI-0000033,NOTIF-00021,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",STANDARD,STD-01750,IS/IEC 60947 (Part 2),NOTIFIES,notification_number,notification_number,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",,F003,07_scheme_x.csv,,12,1.00,
REL-NOTIFI-0000034,NOTIF-00435,"Product Specific Guidelines for Low Voltage Switchgear and Controlgear: Switches, Disconnectors, Switch-Disconnectors, and Fuse-Combination Units - F. No. 8(1)/2018-HEI-Part-(1), dated 10 March, 2025",STANDARD,STD-01751,IS/IEC 60947 (Part 3),NOTIFIES,notification_number,notification_number,"Product Specific Guidelines for Low Voltage Switchgear and Controlgear: Switches, Disconnectors, Switch-Disconnectors, and Fuse-Combination Units - F. No. 8(1)/2018-HEI-Part-(1), dated 10 March, 2025",,F003,07_scheme_x.csv,,13,1.00,
REL-NOTIFI-0000035,NOTIF-00021,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",STANDARD,STD-01751,IS/IEC 60947 (Part 3),NOTIFIES,notification_number,notification_number,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",,F003,07_scheme_x.csv,,14,1.00,
REL-NOTIFI-0000036,NOTIF-00021,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",STANDARD,STD-01751,IS/IEC 60947 (Part 3),NOTIFIES,notification_number,notification_number,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",,F003,07_scheme_x.csv,,15,1.00,
REL-NOTIFI-0000037,NOTIF-00021,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",STANDARD,STD-01751,IS/IEC 60947 (Part 3),NOTIFIES,notification_number,notification_number,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",,F003,07_scheme_x.csv,,16,1.00,
REL-NOTIFI-0000038,NOTIF-00021,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",STANDARD,STD-01751,IS/IEC 60947 (Part 3),NOTIFIES,notification_number,notification_number,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",,F003,07_scheme_x.csv,,17,1.00,
REL-NOTIFI-0000039,NOTIF-00021,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",STANDARD,STD-01751,IS/IEC 60947 (Part 3),NOTIFIES,notification_number,notification_number,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",,F003,07_scheme_x.csv,,18,1.00,
REL-NOTIFI-0000040,NOTIF-00023,"Electrical Equipment (Quality Control) Second Amendment Order, 2024 - S.O. 2007(E), dated 5 May 2025",STANDARD,STD-01752,IS/IEC 60947 (Part 4),NOTIFIES,notification_number,notification_number,"Electrical Equipment (Quality Control) Second Amendment Order, 2024 - S.O. 2007(E), dated 5 May 2025",,F003,07_scheme_x.csv,,19,1.00,
REL-NOTIFI-0000041,NOTIF-00021,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",STANDARD,STD-01752,IS/IEC 60947 (Part 4),NOTIFIES,notification_number,notification_number,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",,F003,07_scheme_x.csv,,20,1.00,
REL-NOTIFI-0000042,NOTIF-00021,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",STANDARD,STD-01752,IS/IEC 60947 (Part 4),NOTIFIES,notification_number,notification_number,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",,F003,07_scheme_x.csv,,21,1.00,
REL-NOTIFI-0000043,NOTIF-00021,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",STANDARD,STD-01752,IS/IEC 60947 (Part 4),NOTIFIES,notification_number,notification_number,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",,F003,07_scheme_x.csv,,22,1.00,
REL-NOTIFI-0000044,NOTIF-00021,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",STANDARD,STD-01752,IS/IEC 60947 (Part 4),NOTIFIES,notification_number,notification_number,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",,F003,07_scheme_x.csv,,23,1.00,
REL-NOTIFI-0000045,NOTIF-00434,"Product Specific Guidelines for Low Voltage Switchgear and Controlgear: Electromechanical Contactor(s) and Motor Starter(s) - F. No. 8(1)/2018-HEI-Part-(1), dated 10 March, 2025",STANDARD,STD-01752,IS/IEC 60947 (Part 4),NOTIFIES,notification_number,notification_number,"Product Specific Guidelines for Low Voltage Switchgear and Controlgear: Electromechanical Contactor(s) and Motor Starter(s) - F. No. 8(1)/2018-HEI-Part-(1), dated 10 March, 2025",,F003,07_scheme_x.csv,,24,1.00,
REL-NOTIFI-0000046,NOTIF-00023,"Electrical Equipment (Quality Control) Second Amendment Order, 2024 - S.O. 2007(E), dated 5 May 2025",STANDARD,STD-01752,IS/IEC 60947 (Part 4),NOTIFIES,notification_number,notification_number,"Electrical Equipment (Quality Control) Second Amendment Order, 2024 - S.O. 2007(E), dated 5 May 2025",,F003,07_scheme_x.csv,,25,1.00,
REL-NOTIFI-0000047,NOTIF-00023,"Electrical Equipment (Quality Control) Second Amendment Order, 2024 - S.O. 2007(E), dated 5 May 2025",STANDARD,STD-01752,IS/IEC 60947 (Part 4),NOTIFIES,notification_number,notification_number,"Electrical Equipment (Quality Control) Second Amendment Order, 2024 - S.O. 2007(E), dated 5 May 2025",,F003,07_scheme_x.csv,,26,1.00,
REL-NOTIFI-0000048,NOTIF-00432,"Product Specific Guidelines for Low Voltage Switchgear and Controlgear: Control circuit devices and switching elements-Electromechanical control circuit devices - F. No. 8(1)/2018-HEI-Part-(1), dated 10 March, 2025",STANDARD,STD-01753,IS/IEC 60947 (Part 5),NOTIFIES,notification_number,notification_number,"Product Specific Guidelines for Low Voltage Switchgear and Controlgear: Control circuit devices and switching elements-Electromechanical control circuit devices - F. No. 8(1)/2018-HEI-Part-(1), dated 10 March, 2025",,F003,07_scheme_x.csv,,27,1.00,
REL-NOTIFI-0000049,NOTIF-00021,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",STANDARD,STD-01753,IS/IEC 60947 (Part 5),NOTIFIES,notification_number,notification_number,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",,F003,07_scheme_x.csv,,28,1.00,
REL-NOTIFI-0000050,NOTIF-00021,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",STANDARD,STD-01753,IS/IEC 60947 (Part 5),NOTIFIES,notification_number,notification_number,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",,F003,07_scheme_x.csv,,29,1.00,
