pair_id,file_a,sheet_a,file_b,sheet_b,columns_a,columns_b,common_columns,unique_columns_a,unique_columns_b,column_jaccard,schema_verdict,common_column_list,unique_a_list,unique_b_list,entity_jaccard_max,deep_compared,deep_compare_reason
SC-0012,05_scheme_ii.csv,05_scheme_ii,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,22,22,1,21,21,0.0233,SCHEMA_WEAK_OVERLAP,source_url,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+9),amendments; corrigendas; current_status; deferments; department; effective_date; exclusions; extensions; is_numbers; mandatory_status; ministry; notification_date …(+9),0.0152,NO,NO_CONTENT_LINK_DETECTED
SC-0013,05_scheme_ii.csv,05_scheme_ii,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,22,22,1,21,21,0.0233,SCHEMA_WEAK_OVERLAP,source_url,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+9),amendments; corrigendas; current_status; deferments; department; effective_date; exclusions; extensions; is_numbers; mandatory_status; ministry; notification_date …(+9),0.0189,NO,NO_CONTENT_LINK_DETECTED
SC-0014,05_scheme_ii.csv,05_scheme_ii,BIS_QCO_Master_Records.xlsx,QCO_Master_Details,22,22,1,21,21,0.0233,SCHEMA_WEAK_OVERLAP,source_url,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+9),amendments; corrigendas; current_status; deferments; department; effective_date; exclusions; extensions; is_numbers; mandatory_status; ministry; notification_date …(+9),0.0,NO,NO_CONTENT_LINK_DETECTED
SC-0015,05_scheme_ii.csv,05_scheme_ii,BIS_QCO_Master_Records_v3.xlsx,QCO_Master_Records,22,22,1,21,21,0.0233,SCHEMA_WEAK_OVERLAP,source_url,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+9),amendments; corrigendas; current_status; deferments; department; effective_date; exclusions; extensions; is_numbers; mandatory_status; ministry; notification_date …(+9),0.0,NO,NO_CONTENT_LINK_DETECTED
SC-0016,05_scheme_ii.csv,05_scheme_ii,BIS_QCO_Master_Scheme_1.xlsx,BIS_QCO_Master_Scheme_1,22,11,0,22,11,0.0,SCHEMA_DISJOINT,,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+10),amendments_extensions; effective_implementation_date; exemptions; is_number; mandatory_voluntary_status; ministry; notification_number; product; qco_order; scope; source_gazette_url,0.0152,NO,NO_CONTENT_LINK_DETECTED
SC-0017,05_scheme_ii.csv,05_scheme_ii,BIS_QCO_Summary.xlsx,QCO_Summary,22,7,0,22,7,0.0,SCHEMA_DISJOINT,,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+10),key_scope_exclusions_amendments; ministry_department; notification_no_date; product_standard_is; qco_name_identifier; scheme_status; source_document_link,0.0161,NO,NO_CONTENT_LINK_DETECTED
SC-0018,05_scheme_ii.csv,05_scheme_ii,BIS_Recognized_Laboratories.xlsx,BIS_Recognized_Labs,22,14,1,21,13,0.0286,SCHEMA_WEAK_OVERLAP,source_url,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+9),address; city; contact_number; contact_person; district; email; lab_code; lab_id; lab_name; recognition_status; scope_url; state …(+1),0.0,NO,NO_CONTENT_LINK_DETECTED
SC-0019,05_scheme_ii.csv,05_scheme_ii,BIS_Scheme_IV_FMCS.xlsx,BIS_FMCS_Scheme_IV,22,13,3,19,10,0.0938,SCHEMA_WEAK_OVERLAP,certification_type; mandatory_voluntary; source_url,canonical_is_number; display_is_number; extraction_method; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp; scheme_id; scheme_label …(+7),is_number; product; related_product_manual; related_qco; related_sit; requirements; scheme_id_code; scheme_name; scheme_type; scope,0.0152,NO,NO_CONTENT_LINK_DETECTED
SC-0020,05_scheme_ii.csv,05_scheme_ii,BIS_Scheme_X_Industrial.xlsx,BIS_Scheme_X,22,14,4,18,10,0.125,SCHEMA_WEAK_OVERLAP,certification_type; mandatory_voluntary; scheme_id; source_url,canonical_is_number; display_is_number; extraction_method; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp; scheme_label; scheme_record_id …(+6),is_number; product; related_product_manual; related_qco; related_sit; requirements; scheme_code; scheme_name; scheme_type; scope,0.0,NO,NO_CONTENT_LINK_DETECTED
SC-0021,05_scheme_ii.csv,05_scheme_ii,BIS_Scheme_X_Industrial_v2.xlsx,BIS_Scheme_X,22,14,4,18,10,0.125,SCHEMA_WEAK_OVERLAP,certification_type; mandatory_voluntary; scheme_id; source_url,canonical_is_number; display_is_number; extraction_method; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp; scheme_label; scheme_record_id …(+6),is_number; product; related_product_manual; related_qco; related_sit; requirements; scheme_code; scheme_name; scheme_type; scope,0.0,NO,NO_CONTENT_LINK_DETECTED
SC-0022,05_scheme_ii.csv,05_scheme_ii,BIS_Schemes_Master.xlsx,BIS_Schemes_Master,22,14,4,18,10,0.125,SCHEMA_WEAK_OVERLAP,certification_type; mandatory_voluntary; scheme_id; source_url,canonical_is_number; display_is_number; extraction_method; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp; scheme_label; scheme_record_id …(+6),is; product; related_product_manual; related_qco; related_sit; requirements; scheme_code; scheme_name; scheme_type; scope,0.0058,NO,NO_CONTENT_LINK_DETECTED
SC-0023,05_scheme_ii.csv,05_scheme_ii,BIS_Schemes_Master_Scheme_2.xlsx,BIS_Schemes_Master_Scheme_2,22,14,4,18,10,0.125,SCHEMA_WEAK_OVERLAP,certification_type; mandatory_voluntary; scheme_id; source_url,canonical_is_number; display_is_number; extraction_method; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp; scheme_label; scheme_record_id …(+6),is; product; related_product_manual; related_qco; related_sit; requirements; scheme_code; scheme_name; scheme_type; scope,0.0058,YES,SAME_DOMAIN=05_SCHEME_II_CRS
SC-0024,05_scheme_ii.csv,05_scheme_ii,BIS_Standards_Amendments.xlsx,BIS_Standards_Amendments,22,12,1,21,11,0.0303,SCHEMA_WEAK_OVERLAP,source_url,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+9),amendment_date; amendment_id; amendment_number; document_url; effective_date; new_version; original_version; parent_entity; status; superseded_document; superseding_document,0.0,NO,NO_CONTENT_LINK_DETECTED
SC-0025,05_scheme_ii.csv,05_scheme_ii,BIS_Standards_Details_v2 (1).xlsx,BIS Standards,22,19,1,21,18,0.025,SCHEMA_WEAK_OVERLAP,title,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+9),current_status; degree_of_equivalence; document_url; is_number; official_url; part_section; product_category; publication_date; reaffirmation_review_date; revision; revision_date; standard_id …(+6),0.0141,NO,NO_CONTENT_LINK_DETECTED
SC-0026,05_scheme_ii.csv,05_scheme_ii,BIS_Standards_Details_v2.xlsx,BIS Standards,22,19,1,21,18,0.025,SCHEMA_WEAK_OVERLAP,title,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+9),current_status; degree_of_equivalence; document_url; is_number; official_url; part_section; product_category; publication_date; reaffirmation_review_date; revision; revision_date; standard_id …(+6),0.0141,NO,NO_CONTENT_LINK_DETECTED
SC-0027,05_scheme_ii.csv,05_scheme_ii,BIS_Standards_Details_v3.xlsx,BIS Standards,22,19,1,21,18,0.025,SCHEMA_WEAK_OVERLAP,title,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+9),current_status; degree_of_equivalence; document_url; is_number; official_url; part_section; product_category; publication_date; reaffirmation_review_date; revision; revision_date; standard_id …(+6),0.0141,NO,NO_CONTENT_LINK_DETECTED
SC-0028,05_scheme_ii.csv,05_scheme_ii,BIS_Standards_Intelligence_Master.xlsx,BIS_Standards_Intelligence,22,23,1,21,22,0.0227,SCHEMA_WEAK_OVERLAP,source_url,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+9),application_procedure; conformity_assessment; eligibility; factory_requirements; fees; forms; infrastructure_requirements; inspection; is_number; laboratory_testing; licence_or_coc_grant; process_controls …(+10),0.0143,NO,NO_CONTENT_LINK_DETECTED
SC-0029,05_scheme_ii.csv,05_scheme_ii,BIS_Standards_Scheme_Mapping.xlsx,BIS_Standards_Scheme_Mapping,22,23,1,21,22,0.0227,SCHEMA_WEAK_OVERLAP,source_url,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+9),application_procedure; certification_scheme_to_store; conformity_assessment; eligibility; factory_requirements; fees; forms; group; infrastructure_requirements; inspection; is_number; laboratory_testing …(+10),0.25,NO,NO_CONTENT_LINK_DETECTED
SC-0030,05_scheme_ii.csv,05_scheme_ii,BIS_Testing_Parameters_Master.xlsx,BIS_Testing_Parameters,22,18,1,21,17,0.0256,SCHEMA_WEAK_OVERLAP,source_url,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+9),acceptance_criteria; clause; is_number; laboratory_requirement; product; rejection_handling; remarks; required_equipment; sample_size; sampling_frequency; source_document; source_page …(+5),0.0143,NO,NO_CONTENT_LINK_DETECTED
SC-0031,05_scheme_ii.csv,05_scheme_ii,bis_circulars (1).csv,bis_circulars (1),22,11,2,20,9,0.0645,SCHEMA_WEAK_OVERLAP,source_url; title,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+8),circular_id; circular_number; document_url; effective_date; implementation_instructions; issuing_authority; related_is; release_date; subject,0.0173,NO,NO_CONTENT_LINK_DETECTED
SC-0032,05_scheme_ii.csv,05_scheme_ii,bis_gazette_notification.csv,bis_gazette_notification,22,4,1,21,3,0.04,SCHEMA_WEAK_OVERLAP,title,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+9),id; related_is; unnamed_3,0.0016,NO,NO_CONTENT_LINK_DETECTED
SC-0033,05_scheme_ii.csv,05_scheme_ii,bis_laboratories.csv,bis_laboratories,22,11,1,21,10,0.0312,SCHEMA_WEAK_OVERLAP,source_url,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+9),accreditation_validity; address; city; contact_details; lab_id; lab_name; lab_type; pin; state; tested_is_numbers,0.0081,NO,NO_CONTENT_LINK_DETECTED
SC-0034,05_scheme_ii.csv,05_scheme_ii,bis_product_certification_faq (1).csv,bis_product_certification_faq (1),22,8,1,21,7,0.0345,SCHEMA_WEAK_OVERLAP,source_url,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+9),answer; category; faq_id; question; related_is; related_product; related_scheme,0.0,NO,NO_CONTENT_LINK_DETECTED
SC-0035,05_scheme_ii.csv,05_scheme_ii,bis_product_certifications.csv,bis_product_certifications,22,9,2,20,7,0.069,SCHEMA_WEAK_OVERLAP,scheme_id; source_url,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+8),applicability; application_procedure; document_url; fee_structure; guideline_title; inspection_testing_norm; scheme_name,0.0,NO,NO_CONTENT_LINK_DETECTED
SC-0036,05_scheme_ii.csv,05_scheme_ii,bis_topic17_hallmarking_centres.csv,bis_topic17_hallmarking_centres,22,14,1,21,13,0.0286,SCHEMA_WEAK_OVERLAP,source_url,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+9),address; centre_code; centre_id; centre_name; city; district; pin; recognition_status; recognition_status_raw; scope; services; state …(+1),0.0,NO,NO_CONTENT_LINK_DETECTED
SC-0037,05_scheme_ii.csv,05_scheme_ii,bis_topic17_hallmarking_centres_cancelled_suspended.csv,bis_topic17_hallmarking_centres_cancelled_suspended,22,17,1,21,16,0.0263,SCHEMA_WEAK_OVERLAP,source_url,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+9),address; centre_code; centre_id; centre_name; centre_type; city; district; pin; recognition_status; recognition_status_raw; region; scope …(+4),0.0,NO,NO_CONTENT_LINK_DETECTED
SC-0038,05_scheme_ii.csv,05_scheme_ii,data__raw__fmcs_all_fmcs_list_raw.csv,data__raw__fmcs_all_fmcs_list_raw,22,9,1,21,8,0.0333,SCHEMA_WEAK_OVERLAP,source_url,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+9),cml_no_raw; name_address_raw; retrieved_at; s_no; standard_no_raw; status_raw; validity_date_raw; variety_brand_raw,0.0055,NO,NO_CONTENT_LINK_DETECTED
SC-0039,05_scheme_ii.csv,05_scheme_ii,output__extraction_log.csv,output__extraction_log,22,6,0,22,6,0.0,SCHEMA_DISJOINT,,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+10),error_type; notes; outcome; retry_count; timestamp; url,0.0,NO,NO_CONTENT_LINK_DETECTED
SC-0040,05_scheme_ii.csv,05_scheme_ii,output__fmcs_country_coverage.csv,output__fmcs_country_coverage,22,3,0,22,3,0.0,SCHEMA_DISJOINT,,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+10),country; licence_count; manufacturer_count,0.0,NO,NO_CONTENT_LINK_DETECTED
SC-0041,05_scheme_ii.csv,05_scheme_ii,output__fmcs_is_coverage.csv,output__fmcs_is_coverage,22,3,0,22,3,0.0,SCHEMA_DISJOINT,,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+10),is_number; licence_count; manufacturer_count,0.0055,NO,NO_CONTENT_LINK_DETECTED
SC-0042,05_scheme_ii.csv,05_scheme_ii,output__source_inventory.csv,output__source_inventory,22,12,0,22,12,0.0,SCHEMA_DISJOINT,,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+10),bytes; canonical_document_id; content_type; dedup_status; http_status; last_modified; notes; retrieved_at; sha256; source_title; source_type; url,0.0,NO,NO_CONTENT_LINK_DETECTED
SC-0043,05_scheme_ii.csv,05_scheme_ii,output__topic18_fmcs_manufacturers.csv,output__topic18_fmcs_manufacturers,22,17,1,21,16,0.0263,SCHEMA_WEAK_OVERLAP,source_url,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+9),air; application_requirements; competent_personnel; country; documents; eligibility; factory; fees; is_number; licence; licence_status; machinery_requirements …(+4),0.0055,NO,NO_CONTENT_LINK_DETECTED
SC-0044,05_scheme_ii.csv,05_scheme_ii,output__topic19_official_documents.csv,output__topic19_official_documents,22,17,1,21,16,0.0263,SCHEMA_WEAK_OVERLAP,source_url,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+9),access_status; date; document_id; document_title; document_type; download_url; effective_date; is_number; license_access_restriction; local_file; page_count; product …(+4),0.0,NO,NO_CONTENT_LINK_DETECTED
SC-0045,05_scheme_ii.csv,05_scheme_ii,output__topic20_provenance.csv,output__topic20_provenance,22,19,2,20,17,0.0513,SCHEMA_WEAK_OVERLAP,retrieval_timestamp; source_url,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; scheme_id …(+8),clause; confidence; document_hash; document_id; document_title; effective_date; entity_type; evidence_text; field_name; field_value; page; record_id …(+5),0.0,NO,NO_CONTENT_LINK_DETECTED
SC-0046,05_scheme_ii.csv,05_scheme_ii,output__unresolved_records.csv,output__unresolved_records,22,6,0,22,6,0.0,SCHEMA_DISJOINT,,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp …(+10),attempted_source_url; entity_type; field_name; reason; record_id; resolution_needed,0.0,NO,NO_CONTENT_LINK_DETECTED
SC-0047,06_scheme_iv.csv,06_scheme_iv,07_scheme_x.csv,07_scheme_x,23,23,23,0,0,1.0,SCHEMA_IDENTICAL,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_document_url; notification_reference; notified_by; product_name; raw_is_number; record_status; retrieval_timestamp; scheme_id; scheme_label; scheme_record_id; scraper_engine; source_id; source_url; specific_requirement …(+3),,,0.0,YES,SCHEMA_JACCARD>=0.25
SC-0048,06_scheme_iv.csv,06_scheme_iv,17_source_conflicts.csv,17_source_conflicts,23,14,0,23,14,0.0,SCHEMA_DISJOINT,,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_document_url; notification_reference; notified_by; product_name; raw_is_number; record_status …(+11),conflict_id; detected_at; entity_key; entity_type; field_name; notes; resolution_rule; resolved_value; source_a_id; source_a_url; source_b_id; source_b_url …(+2),0.0,NO,NO_CONTENT_LINK_DETECTED
SC-0049,06_scheme_iv.csv,06_scheme_iv,BIS_Combined_Testing_Master.xlsx,Combined_Testing_Master,23,12,1,22,11,0.0294,SCHEMA_WEAK_OVERLAP,source_url,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_document_url; notification_reference; notified_by; product_name; raw_is_number; record_status …(+10),acceptance_criteria; clause; frequency; method; method_standard; parameter; remarks; required_equipment; sample_size; test_id; test_name,0.0,NO,NO_CONTENT_LINK_DETECTED
SC-0050,06_scheme_iv.csv,06_scheme_iv,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,23,10,1,22,9,0.0312,SCHEMA_WEAK_OVERLAP,source_url,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_document_url; notification_reference; notified_by; product_name; raw_is_number; record_status …(+10),answer; category; document_reference; faq_id; question; related_is; related_product; related_qco; related_scheme,0.0,NO,NO_CONTENT_LINK_DETECTED
SC-0051,06_scheme_iv.csv,06_scheme_iv,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,23,12,1,22,11,0.0294,SCHEMA_WEAK_OVERLAP,source_url,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_document_url; notification_reference; notified_by; product_name; raw_is_number; record_status …(+10),capability; clause; is_number; lab_id; product; scope_id; scope_status; scope_validity; test_method; test_name; testing_charge,0.0,NO,NO_CONTENT_LINK_DETECTED
SC-0052,06_scheme_iv.csv,06_scheme_iv,BIS_Mandatory_Hallmarking_Orders.xlsx,Mandatory_Hallmarking_Orders,23,14,1,22,13,0.0278,SCHEMA_WEAK_OVERLAP,source_url,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_document_url; notification_reference; notified_by; product_name; raw_is_number; record_status …(+10),amendment; district_phase; document_url; effective_date; exemption; fineness; geographical_applicability; mandatory_status; metal; order_id; order_number; order_title …(+1),0.0,NO,NO_CONTENT_LINK_DETECTED
SC-0053,06_scheme_iv.csv,06_scheme_iv,BIS_Notifications_Master.xlsx,BIS_Notifications_Master,23,14,2,21,12,0.0571,SCHEMA_WEAK_OVERLAP,source_url; title,canonical_is_number; certification_type; display_is_number; extraction_method; mandatory_voluntary; missing_reason; notification_document_url; notification_reference; notified_by; product_name; raw_is_number; record_status …(+9),date; department; document_url; effective_date; ministry; notification_id; notification_number; related_amendment; related_is; related_qco; subject; type,0.0,NO,NO_CONTENT_LINK_DETECTED
