file_id,original_filename,sheet_name,exact_column_name,normalized_column_name,semantic_type,placeholder_token,occurrences,total_rows,informative_values,null_policy,missing_reason,phase4_action
F016,BIS_QCO_Master_Records.xlsx,QCO_Master_Details,amendments,amendments,UNCLASSIFIED_STRING,none,1,3,2,ASSERTED_ABSENCE,,Do NOT null. The source asserts no such record exists. Keep a typed sentinel (e.g. <col>_exists=FALSE) so 'none exists' stays distinguishable from 'unknown'.
F047,output__topic20_provenance.csv,output__topic20_provenance,page,page,DOC_LOCATOR,null,44154,44154,0,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F047,output__topic20_provenance.csv,output__topic20_provenance,document_hash,document_hash,CONTENT_HASH,null,43914,44154,240,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F047,output__topic20_provenance.csv,output__topic20_provenance,document_id,document_id,PRIMARY_KEY_ID,null,43890,44154,264,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F047,output__topic20_provenance.csv,output__topic20_provenance,document_title,document_title,TITLE,null,43890,44154,264,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F047,output__topic20_provenance.csv,output__topic20_provenance,clause,clause,DOC_LOCATOR,null,41019,44154,3135,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F047,output__topic20_provenance.csv,output__topic20_provenance,version,version,IS_NUMBER,null,41019,44154,3135,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F047,output__topic20_provenance.csv,output__topic20_provenance,effective_date,effective_date,EFFECTIVE_DATE,null,15939,44154,28215,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F039,bis_topic17_hallmarking_centres_cancelled_suspended.csv,bis_topic17_hallmarking_centres_cancelled_suspended,scope,scope,DESCRIPTIVE_TEXT,not available,722,722,0,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F047,output__topic20_provenance.csv,output__topic20_provenance,field_value,field_value,FREE_TEXT,null,240,44154,43914,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F047,output__topic20_provenance.csv,output__topic20_provenance,section,section,DOC_LOCATOR,null,154,44154,44000,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F045,output__topic18_fmcs_manufacturers.csv,output__topic18_fmcs_manufacturers,product,product,PRODUCT_NAME,null,106,3135,3029,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F001,05_scheme_ii.csv,05_scheme_ii,notification_reference,notification_reference,FREE_TEXT,null,62,78,16,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F027,BIS_Standards_Details_v2 (1).xlsx,BIS Standards,superseding standard,superseding_standard,IS_RELATIONSHIP,n/a,33,40,0,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F028,BIS_Standards_Details_v2.xlsx,BIS Standards,superseding standard,superseding_standard,IS_RELATIONSHIP,n/a,33,40,0,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F029,BIS_Standards_Details_v3.xlsx,BIS Standards,superseding standard,superseding_standard,IS_RELATIONSHIP,n/a,33,40,0,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F003,07_scheme_x.csv,07_scheme_x,missing_reason,missing_reason,MISSING_REASON,null,29,52,23,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F003,07_scheme_x.csv,07_scheme_x,title,title,TITLE,null,22,52,30,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F046,output__topic19_official_documents.csv,output__topic19_official_documents,IS_number,is_number,IS_NUMBER,null,22,22,0,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F046,output__topic19_official_documents.csv,output__topic19_official_documents,product,product,PRODUCT_NAME,null,22,22,0,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F046,output__topic19_official_documents.csv,output__topic19_official_documents,QCO,qco,QCO_REFERENCE,null,22,22,0,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F046,output__topic19_official_documents.csv,output__topic19_official_documents,version,version,EMPTY_COLUMN,null,22,22,0,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F046,output__topic19_official_documents.csv,output__topic19_official_documents,date,date,DATE,null,22,22,0,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F046,output__topic19_official_documents.csv,output__topic19_official_documents,effective_date,effective_date,EFFECTIVE_DATE,null,22,22,0,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F046,output__topic19_official_documents.csv,output__topic19_official_documents,local_file,local_file,EMPTY_COLUMN,null,22,22,0,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F044,output__source_inventory.csv,output__source_inventory,last_modified,last_modified,UNCLASSIFIED_STRING,null,21,46,25,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F044,output__source_inventory.csv,output__source_inventory,sha256,sha256,CONTENT_HASH,null,21,46,25,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F003,07_scheme_x.csv,07_scheme_x,specific_requirement,specific_requirement,DESCRIPTIVE_TEXT,null,20,52,32,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F003,07_scheme_x.csv,07_scheme_x,raw_is_number,raw_is_number,IS_NUMBER,null,19,52,33,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F003,07_scheme_x.csv,07_scheme_x,canonical_is_number,canonical_is_number,IS_NUMBER,null,19,52,33,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F003,07_scheme_x.csv,07_scheme_x,display_is_number,display_is_number,IS_NUMBER,null,19,52,33,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F003,07_scheme_x.csv,07_scheme_x,standard_year,standard_year,YEAR,null,19,52,33,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F044,output__source_inventory.csv,output__source_inventory,bytes,bytes,PROVENANCE_META,null,19,46,27,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F044,output__source_inventory.csv,output__source_inventory,canonical_document_id,canonical_document_id,PRIMARY_KEY_ID,null,19,46,27,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F001,05_scheme_ii.csv,05_scheme_ii,standard_year,standard_year,YEAR,null,17,78,61,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F001,05_scheme_ii.csv,05_scheme_ii,missing_reason,missing_reason,MISSING_REASON,null,16,78,62,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F044,output__source_inventory.csv,output__source_inventory,notes,notes,DESCRIPTIVE_TEXT,null,8,46,38,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F027,BIS_Standards_Details_v2 (1).xlsx,BIS Standards,part/section,part_section,UNCLASSIFIED_STRING,n/a,7,40,33,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F028,BIS_Standards_Details_v2.xlsx,BIS Standards,part/section,part_section,UNCLASSIFIED_STRING,n/a,7,40,33,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F029,BIS_Standards_Details_v3.xlsx,BIS Standards,part/section,part_section,UNCLASSIFIED_STRING,n/a,7,40,33,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F002,06_scheme_iv.csv,06_scheme_iv,title,title,TITLE,null,6,6,0,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F027,BIS_Standards_Details_v2 (1).xlsx,BIS Standards,revision date,revision_date,DATE,n/a,6,40,34,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F028,BIS_Standards_Details_v2.xlsx,BIS Standards,revision date,revision_date,DATE,n/a,6,40,34,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F029,BIS_Standards_Details_v3.xlsx,BIS Standards,revision date,revision_date,DATE,n/a,6,40,34,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F002,06_scheme_iv.csv,06_scheme_iv,missing_reason,missing_reason,MISSING_REASON,null,5,6,1,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F048,output__unresolved_records.csv,output__unresolved_records,attempted_source_URL,attempted_source_url,URL,null,3,22,19,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F004,17_source_conflicts.csv,17_source_conflicts,resolved_value,resolved_value,EMPTY_COLUMN,null,2,2,0,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F045,output__topic18_fmcs_manufacturers.csv,output__topic18_fmcs_manufacturers,factory,factory,ADDRESS,null,2,3135,3133,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F046,output__topic19_official_documents.csv,output__topic19_official_documents,SHA256,sha256,CONTENT_HASH,null,2,22,20,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F046,output__topic19_official_documents.csv,output__topic19_official_documents,page_count,page_count,NUMERIC_OR_COUNT,null,2,22,20,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F046,output__topic19_official_documents.csv,output__topic19_official_documents,license/access_restriction,license_access_restriction,FREE_TEXT,not specified,2,22,20,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F017,BIS_QCO_Master_Records_v3.xlsx,QCO_Master_Records,corrigendas,corrigendas,UNCLASSIFIED_STRING,n/a,1,12,11,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
F039,bis_topic17_hallmarking_centres_cancelled_suspended.csv,bis_topic17_hallmarking_centres_cancelled_suspended,pin,pin,PINCODE,not available,1,722,721,NULL_UNKNOWN,PLACEHOLDER_IN_SOURCE,Write NULL; set missing_reason=PLACEHOLDER_IN_SOURCE. Never re-emit the token.
